Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1958,Regular Season,Kokutetsu Swallows,27,"Negoro, Hiromitsu",C,101,293,267,0.225,0.274,0.352,0.626,18,28,60,42,9,2,7,94,1,2,17,2,43,10,1,7,1,01003804
1958,Regular Season,Mainichi Daiei Orions,16,"Taki, Yoshihiko",P,13,5,5,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01003805
1958,Regular Season,Nishitetsu Lions,19,"Hiraide, Yoshio",CF,4,0,0,0.000,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01003806
1958,Japan Series,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,7,,26,0.385,,0.462,,,3,10,8,2,0,0,12,0,,1,,2,,,,,01003807
1958,Regular Season,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,112,345,308,0.276,0.342,0.383,0.725,45,30,85,63,16,1,5,118,15,5,24,0,66,3,7,6,0,01003807
1958,Regular Season,Mainichi Daiei Orions,27,"Arai, Shigeru",PH,55,93,83,0.229,0.297,0.301,0.598,3,6,19,15,3,0,1,25,0,1,7,0,22,1,1,0,2,01103800
1958,Regular Season,Mainichi Daiei Orions,11,"Aramaki, Atsushi",P,52,87,75,0.227,0.301,0.253,0.554,9,2,17,15,2,0,0,19,1,1,8,0,13,1,0,4,0,01103801
1958,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",P,62,124,113,0.177,0.205,0.248,0.453,4,5,20,15,3,1,1,28,0,0,4,0,33,2,0,7,0,01103802
1958,Regular Season,Toei Flyers,17,"Iio, Tameo",P,17,11,10,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,01103803
1958,Regular Season,Kintetsu Pearls,3,"Iko, Teruo",CF,83,231,213,0.272,0.326,0.343,0.669,23,21,58,49,5,2,2,73,3,4,14,2,30,4,3,1,0,01103804
1958,Regular Season,Hiroshima Carp,38,"Iishi, Hirokazu",PH,3,3,2,0.000,0.333,0.000,0.333,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,01103806
1958,Regular Season,Mainichi Daiei Orions,12,"Nakanishi, Katsumi",P,33,28,28,0.071,0.071,0.143,0.214,2,0,2,1,0,1,0,4,0,0,0,0,10,0,0,0,0,01203802
1958,Regular Season,Nankai Hawks,28,"Fukuda, Masahisa",PH,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01203804
