Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1960,Regular Season,Kokutetsu Swallows,27,"Negoro, Hiromitsu",C,112,265,239,0.192,0.252,0.280,0.532,20,18,46,34,7,1,4,67,2,3,17,2,31,3,2,6,1,01003804
1960,Regular Season,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,80,251,239,0.230,0.255,0.331,0.586,23,24,55,38,13,1,3,79,3,5,7,0,33,7,1,3,1,01003807
1960,Regular Season,Nankai Hawks,54,"Nakajima, Hiroyuki",PH,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01003808
1960,Regular Season,Kintetsu Buffalo,17,"Bando, Satomi",P,2,0,0,0.000,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01003821
1960,Japan Series,Mainichi Daiei Orions,11,"Aramaki, Atsushi",P,2,,0,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,01103801
1960,Regular Season,Mainichi Daiei Orions,11,"Aramaki, Atsushi",P,21,10,9,0.111,0.111,0.222,0.333,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,1,0,01103801
1960,Japan Series,Taiyo Whales,17,"Akiyama, Noboru",P,4,,5,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,2,,,,,01103802
1960,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",P,61,87,80,0.125,0.125,0.163,0.288,3,4,10,7,3,0,0,13,0,1,0,0,26,1,0,6,1,01103802
1960,Japan Series,Mainichi Daiei Orions,21,"Iio, Tameo",P,1,,0,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,01103803
1960,Regular Season,Mainichi Daiei Orions,21,"Iio, Tameo",P,33,28,26,0.077,0.077,0.154,0.231,1,1,2,1,0,1,0,4,0,0,0,0,10,1,0,1,1,01103803
1960,Regular Season,Kintetsu Buffalo,3,"Iko, Teruo",PH,67,131,119,0.227,0.287,0.319,0.606,8,9,27,19,6,1,1,38,1,1,8,1,15,1,2,2,0,01103804
1960,Japan Series,Taiyo Whales,12,"Aso, Saneo",PH,1,,1,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,1,,,,,01103808
1960,Regular Season,Taiyo Whales,12,"Aso, Saneo",PH,92,146,138,0.254,0.285,0.341,0.626,8,17,35,26,7,1,1,47,0,0,6,2,23,4,0,0,2,01103808
1960,Regular Season,Nishitetsu Lions,11,"Inoe, Yoshio",P,22,8,8,0.250,0.250,0.250,0.500,2,1,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,01103821
1960,Japan Series,Mainichi Daiei Orions,17,"Nakanishi, Katsumi",P,3,,4,0.250,,0.250,,,0,1,1,0,0,0,1,0,,0,,1,,,,,01203802
1960,Regular Season,Mainichi Daiei Orions,17,"Nakanishi, Katsumi",P,40,79,71,0.155,0.155,0.169,0.324,2,1,11,10,1,0,0,12,0,0,0,0,22,1,0,8,0,01203802
1960,Regular Season,Nankai Hawks,28,"Fukuda, Masahisa",RF,79,107,103,0.214,0.236,0.437,0.673,22,14,22,13,1,2,6,45,0,3,2,0,43,2,1,1,0,01203804
1960,Japan Series,Taiyo Whales,32,"Miyamoto, Kazuyoshi",P,4,,0,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,01203806
1960,Regular Season,Taiyo Whales,32,"Miyamoto, Kazuyoshi",P,36,16,16,0.188,0.188,0.375,0.563,2,1,3,2,0,0,1,6,0,0,0,0,4,0,0,0,0,01203806
1960,Regular Season,Kintetsu Buffalo,24,"Bottler, Ron",P,36,59,56,0.357,0.368,0.500,0.868,2,6,20,15,3,1,1,28,0,1,1,0,6,3,0,1,1,01203808
1960,Regular Season,Kokutetsu Swallows,21,"Moritaki, Yoshimi",P,32,21,18,0.111,0.200,0.111,0.311,0,1,2,2,0,0,0,2,0,0,2,0,8,0,0,1,0,01203821
1960,Japan Series,Mainichi Daiei Orions,3,"Enomoto, Kihachi",1B,4,,15,0.200,,0.400,,,2,3,2,0,0,1,6,0,,0,,2,,,,,01303800
1960,Regular Season,Mainichi Daiei Orions,3,"Enomoto, Kihachi",1B,133,576,494,0.344,0.435,0.506,0.941,94,66,170,117,37,5,11,250,15,1,67,5,33,9,12,1,2,01303800
1960,Regular Season,Hankyu Braves,36,"Kajimoto, Yasuo",P,3,3,2,0.500,0.500,0.500,1.000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,01303804
1960,Regular Season,Yomiuri Giants,47,"Kawano, Tadashi",CF,68,32,29,0.172,0.226,0.172,0.398,5,1,5,5,0,0,0,5,2,1,2,0,9,1,0,1,0,01303806
1960,Regular Season,Kokutetsu Swallows,15,"Ugai, Katsumi",PH,81,130,121,0.207,0.238,0.298,0.536,8,12,25,20,2,0,3,36,1,0,5,2,23,5,0,1,3,01303807
1960,Regular Season,Kokutetsu Swallows,48,"Onogi, Takashi",P,3,0,0,0.000,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01303808
1960,Regular Season,Hiroshima Carp,34,"Kangaki, Masaaki",P,1,0,0,0.000,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01303821
1960,Regular Season,Nankai Hawks,26,"Hasegawa, Shigeo",CF,110,336,303,0.274,0.341,0.389,0.730,41,25,83,65,9,1,8,118,9,2,30,2,51,3,1,0,2,01403802
1960,Regular Season,Nankai Hawks,48,"Watarai, Sumio",C,33,38,36,0.056,0.056,0.083,0.139,1,2,2,1,1,0,0,3,0,0,0,0,8,0,0,1,1,01403806
1960,Regular Season,Nishitetsu Lions,1,"Kobuchi, Taisuke",3B,103,270,242,0.223,0.293,0.364,0.657,30,34,54,38,5,4,7,88,12,2,23,0,48,8,1,0,4,01503804
1960,Regular Season,Nishitetsu Lions,26,"Kawai, Yasuhiko",C,67,180,158,0.253,0.333,0.437,0.770,20,17,40,27,4,2,7,69,0,1,15,1,32,5,4,3,0,01503805
1960,Japan Series,Taiyo Whales,26,"Kondo, Kazuhiko",1B,4,,15,0.400,,0.467,,,0,6,5,1,0,0,7,2,,1,,2,,,,,01503806
1960,Regular Season,Taiyo Whales,26,"Kondo, Kazuhiko",1B,128,525,459,0.316,0.390,0.425,0.815,60,55,145,113,21,4,7,195,20,12,55,5,45,5,1,5,5,01503806
1960,Regular Season,Chunichi Dragons,5,"Kataoka, Hiro",LF,13,3,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01503808
1960,Regular Season,Nishitetsu Lions,5,"Ogi, Akira",2B,114,426,374,0.267,0.333,0.366,0.699,46,30,100,74,19,3,4,137,8,8,33,1,57,4,4,15,0,01503809
1960,Japan Series,Taiyo Whales,1,"Kondo, Akihito",2B,4,,15,0.200,,0.400,,,2,3,2,0,0,1,6,0,,2,,2,,,,,01503821
1960,Regular Season,Taiyo Whales,1,"Kondo, Akihito",2B,117,425,389,0.226,0.273,0.326,0.599,38,40,88,62,17,5,4,127,17,7,25,2,82,6,0,10,1,01503821
1960,Regular Season,Hankyu Braves,29,"Takita, Masaharu",1B,84,281,249,0.281,0.358,0.369,0.727,24,27,70,54,11,4,1,92,2,2,28,4,25,3,2,1,1,01503896
1960,Regular Season,Kintetsu Buffalo,21,"Naito, Hirofumi",2B,92,341,311,0.251,0.304,0.347,0.651,30,21,78,57,15,3,3,108,2,0,17,0,66,9,7,6,0,01503898
1960,Regular Season,Hankyu Braves,12,"Shibata, Eiji",P,13,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01603801
1960,Regular Season,Hiroshima Carp,7,"Himoto, Yoshio",RF,23,30,25,0.080,0.179,0.080,0.259,2,0,2,2,0,0,0,2,2,1,2,0,9,0,1,2,0,01603802
1960,Regular Season,Nankai Hawks,19,"Nomura, Katsuya",C,124,480,430,0.291,0.358,0.560,0.918,66,88,125,71,21,4,29,241,8,6,41,2,77,15,4,1,4,01603809
1960,Regular Season,Toei Flyers,32,"Shimada, Yuji",PH,60,94,85,0.235,0.309,0.329,0.638,9,6,20,16,2,0,2,28,2,2,8,1,23,1,1,0,0,01703804
1960,Regular Season,Nankai Hawks,21,"Sugiura, Tadashi",P,57,127,120,0.158,0.179,0.233,0.412,8,10,19,12,6,0,1,28,0,1,3,0,41,0,0,4,0,01703806
1960,Regular Season,Nishitetsu Lions,22,"Sugimachi, Osamu",P,6,2,2,0.500,0.500,0.500,1.000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,01703821
1960,Japan Series,Mainichi Daiei Orions,34,"Hatta, Tadashi",SS,4,,9,0.111,,0.111,,,0,1,1,0,0,0,1,0,,1,,2,,,,,01803800
1960,Regular Season,Mainichi Daiei Orions,34,"Hatta, Tadashi",SS,98,317,282,0.259,0.321,0.369,0.690,35,25,73,54,11,4,4,104,12,4,24,0,26,5,2,8,1,01803800
1960,Regular Season,Nankai Hawks,40,"Masui, Makito",P,22,18,16,0.125,0.176,0.125,0.301,1,0,2,2,0,0,0,2,0,0,1,0,3,1,0,1,0,01803802
1960,Regular Season,Hiroshima Carp,14,"Hirose, Masahiko",P,46,28,27,0.148,0.148,0.148,0.296,1,1,4,4,0,0,0,4,0,0,0,0,11,0,0,1,0,01803809
1960,Regular Season,Toei Flyers,26,"Kubota, Osamu",P,48,52,50,0.280,0.280,0.400,0.680,5,4,14,10,3,0,1,20,0,0,0,0,10,1,0,2,0,01903800
1960,Regular Season,Yomiuri Giants,19,"Sakazaki, Kazuhiko",PH,104,232,213,0.202,0.258,0.385,0.643,18,31,43,26,6,0,11,82,2,1,14,2,56,5,2,2,1,01903802
1960,Regular Season,Hankyu Braves,39,"Tomiyama, Hiroshi",C,6,9,9,0.111,0.111,0.111,0.222,2,1,1,1,0,0,0,1,0,0,0,0,3,1,0,0,0,01903804
1960,Regular Season,Osaka Tigers,31,"Tokaji, Masao",C,41,53,51,0.196,0.226,0.255,0.481,3,1,10,9,0,0,1,13,0,0,2,0,10,2,0,0,0,01903806
