Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1950,Regular Season,Nishi Nippon Pirates,24,"Kayano, Kenichi",CF,11,15,14,0.071,0.071,0.071,0.142,1,0,1,1,0,0,0,1,0,0,0,,3,0,0,1,,01003801
1950,Japan Series,Shochiku Robins,9,"Yoshida, Kazuo",LF,4,,7,0.143,,0.143,,,0,1,1,0,0,0,1,0,,1,,1,,,,,01003878
1950,Regular Season,Shochiku Robins,9,"Yoshida, Kazuo",LF,91,304,272,0.261,0.339,0.452,0.791,36,49,71,47,9,2,13,123,2,2,31,,47,8,1,0,,01003878
1950,Japan Series,Mainichi Orions,11,"Aramaki, Atsushi",P,3,,4,0.500,,1.250,,,2,2,1,0,0,1,5,0,,1,,0,,,,,01103801
1950,Regular Season,Mainichi Orions,11,"Aramaki, Atsushi",P,48,106,97,0.196,0.235,0.289,0.524,10,6,19,10,9,0,0,28,0,0,5,,9,0,0,4,,01103801
1950,Japan Series,Shochiku Robins,20,"Izutsu, Kenichi",P,1,,2,0.500,,0.500,,,0,1,1,0,0,0,1,0,,0,,0,,,,,01103878
1950,Regular Season,Shochiku Robins,20,"Izutsu, Kenichi",P,27,51,47,0.255,0.286,0.277,0.563,8,10,12,11,1,0,0,13,1,0,1,,5,0,1,2,,01103878
1950,Regular Season,Taiyo Whales,18,"Imanishi, Rentaro",P,41,92,85,0.247,0.297,0.294,0.591,6,8,21,17,4,0,0,25,1,0,6,,10,3,0,1,,01103892
1950,Regular Season,Daiei Stars,14,"Ikeda, Zenzo",P,17,39,37,0.270,0.289,0.297,0.586,4,5,10,9,1,0,0,11,0,0,1,,7,1,0,1,,01103894
1950,Regular Season,Hankyu Braves,5,"Uchio, Isamu",SS,69,288,263,0.209,0.275,0.281,0.556,28,21,55,42,10,0,3,74,5,1,23,,29,5,1,1,,01103898
1950,Regular Season,Kokutetsu Swallows,26,"Kubo, Goichi",CF,21,48,45,0.067,0.125,0.111,0.236,1,4,3,1,2,0,0,5,0,0,3,,7,1,0,0,,01203801
1950,Regular Season,Kokutetsu Swallows,2,"Ishikawa, Hisatada",LF,62,195,176,0.227,0.299,0.318,0.617,14,25,40,29,8,1,2,56,0,1,18,,33,4,0,1,,01303801
1950,Regular Season,Taiyo Whales,5,"Osawa, Nobuo",1B,139,625,578,0.327,0.377,0.460,0.837,97,93,189,133,45,1,10,266,7,5,46,,25,16,0,1,,01303874
1950,Regular Season,Yomiuri Giants,16,"Kawakami, Tetsuharu",1B,138,619,559,0.313,0.380,0.551,0.931,102,119,175,106,34,6,29,308,34,6,56,,29,12,4,0,,01303876
1950,Regular Season,Nishitetsu Clippers,21,"Kawasaki, Tokuji",P,69,133,117,0.291,0.366,0.444,0.810,15,19,34,25,4,1,4,52,1,2,13,,6,4,1,2,,01303891
1950,Regular Season,Osaka Tigers,18,"Kawanishi, Toshio",RF,113,394,351,0.276,0.332,0.342,0.674,58,30,97,78,16,2,1,120,23,5,29,,11,6,0,14,,01303892
1950,Regular Season,Taiyo Whales,8,"Tanaka, Toshiaki",SS,89,278,256,0.281,0.324,0.313,0.637,29,20,72,64,8,0,0,80,7,2,16,,18,11,0,6,,01303894
1950,Regular Season,Chunichi Dragons,3,"Kunieda, Toshimichi",2B,133,554,489,0.272,0.348,0.376,0.724,84,58,133,96,26,8,3,184,39,16,57,,31,7,0,8,,01303896
1950,Regular Season,Osaka Tigers,4,"Komada, Keiji",P,32,54,49,0.163,0.241,0.163,0.404,0,5,8,8,0,0,0,8,0,0,5,,9,2,0,0,,01303898
1950,Regular Season,Taiyo Whales,27,"Kondo, Masao",CF,60,102,87,0.276,0.376,0.345,0.721,10,8,24,18,6,0,0,30,3,2,14,,8,0,0,1,,01403801
1950,Regular Season,Chunichi Dragons,1,"Tsubochi, Michinori",CF,123,520,469,0.288,0.351,0.412,0.763,73,57,135,97,25,6,7,193,28,8,38,,24,8,8,5,,01403872
1950,Regular Season,Nishi Nippon Pirates,19,"Mori, Kotaro",P,29,64,61,0.213,0.238,0.230,0.468,4,7,13,12,1,0,0,14,0,1,2,,7,1,0,1,,01403874
1950,Regular Season,Mainichi Orions,16,"Ueno, Shigeo",P,23,45,41,0.268,0.302,0.341,0.643,5,3,11,10,0,0,1,14,0,0,2,,8,1,0,2,,01503801
1950,Regular Season,Daiei Stars,29,"Takita, Masaharu",CF,117,480,433,0.249,0.320,0.376,0.696,64,47,108,72,25,3,8,163,14,2,44,,50,8,1,2,,01503896
1950,Regular Season,Yomiuri Giants,2,"Hagihara, Hiroshi",RF,124,539,476,0.275,0.342,0.387,0.729,70,48,131,94,27,4,6,184,25,7,47,,45,8,1,15,,01503897
1950,Regular Season,Yomiuri Giants,28,"Naito, Hirofumi",SS,113,330,299,0.214,0.277,0.274,0.551,30,19,64,50,11,2,1,82,15,4,26,,57,10,0,5,,01503898
1950,Regular Season,Hankyu Braves,12,"Shibata, Eiji",P,14,28,28,0.179,0.179,0.179,0.358,1,1,5,5,0,0,0,5,0,0,0,,10,3,0,0,,01603801
1950,Regular Season,Nishitetsu Clippers,10,"Osaki, Kenji",P,20,24,20,0.150,0.292,0.150,0.442,0,2,3,3,0,0,0,3,0,0,4,,7,1,0,0,,01703801
1950,Regular Season,Yomiuri Giants,18,"Nakao, Hiroshi",P,38,79,72,0.139,0.195,0.167,0.362,3,4,10,8,2,0,0,12,1,0,5,,14,2,0,2,,01703878
1950,Regular Season,Taiyo Whales,16,"Takano, Hiroyoshi",P,66,169,153,0.216,0.277,0.346,0.623,12,18,33,22,6,1,4,53,0,0,13,,33,4,0,3,,01703892
1950,Japan Series,Mainichi Orions,25,"Betto, Kaoru",CF,6,,24,0.500,,0.833,,,3,12,5,6,1,0,20,0,,5,,0,,,,,01703896
1950,Regular Season,Mainichi Orions,25,"Betto, Kaoru",CF,120,526,477,0.335,0.397,0.671,1.068,108,105,160,90,23,4,43,320,34,7,49,,36,15,0,0,,01703896
