Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1965,Regular Season,Sankei Swallows,27,"Negoro, Hiromitsu",C,109,294,272,0.217,0.260,0.335,0.595,20,28,59,43,8,0,8,91,0,1,14,1,40,4,2,4,2,01003804
1965,Regular Season,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,74,304,286,0.266,0.305,0.420,0.725,32,31,76,50,17,0,9,120,1,4,15,0,42,3,1,2,0,01003807
1965,Japan Series,Nankai Hawks,54,"Nakajima, Hiroyuki",RF,2,,3,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,0,,,,,01003808
1965,Regular Season,Nankai Hawks,54,"Nakajima, Hiroyuki",RF,79,89,86,0.209,0.227,0.267,0.494,14,5,18,15,2,0,1,23,1,3,2,0,17,0,0,0,1,01003808
1965,Regular Season,Chunichi Dragons,9,"Hishikawa, Akira",PH,34,30,29,0.207,0.233,0.345,0.578,3,3,6,4,1,0,1,10,0,0,0,0,12,1,1,0,0,01003820
1965,Regular Season,Kintetsu Buffaloes,17,"Bando, Satomi",P,27,12,11,0.091,0.167,0.091,0.258,0,0,1,1,0,0,0,1,0,0,1,0,4,0,0,0,0,01003821
1965,Regular Season,Kintetsu Buffaloes,44,"Desa, Dick",P,7,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01003823
1965,Regular Season,Nishitetsu Lions,56,"Suzuki, Goro",PH,46,64,62,0.194,0.219,0.258,0.477,2,1,12,10,1,0,1,16,1,0,2,0,23,1,0,0,0,01003825
1965,Regular Season,Toei Flyers,24,"Nagayasu, Masayuki",P,40,42,38,0.132,0.195,0.132,0.327,1,1,5,5,0,0,0,5,0,0,3,0,15,1,0,1,0,01003829
1965,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",P,40,26,24,0.083,0.120,0.083,0.203,0,0,2,2,0,0,0,2,0,0,1,0,6,0,0,1,0,01103802
1965,Regular Season,Kintetsu Buffaloes,3,"Iko, Teruo",PH,80,87,79,0.152,0.212,0.177,0.389,2,8,12,10,2,0,0,14,0,0,6,0,12,3,0,0,2,01103804
