Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1963,Regular Season,Kokutetsu Swallows,27,"Negoro, Hiromitsu",C,138,415,385,0.229,0.268,0.283,0.551,25,33,88,78,4,1,5,109,3,2,18,1,32,13,3,6,3,01003804
1963,Japan Series,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,7,,29,0.172,,0.207,,,4,5,4,1,0,0,6,0,,1,,5,,,,,01003807
1963,Regular Season,Nishitetsu Lions,25,"Takakura, Teruyuki",CF,143,611,560,0.254,0.307,0.443,0.750,80,62,142,93,19,3,27,248,12,8,37,2,62,12,6,7,1,01003807
1963,Regular Season,Nankai Hawks,54,"Nakajima, Hiroyuki",PR,51,30,28,0.250,0.276,0.357,0.633,10,4,7,6,0,0,1,10,2,2,1,0,8,0,0,1,0,01003808
1963,Regular Season,Kintetsu Buffaloes,17,"Bando, Satomi",P,33,7,7,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,01003821
1963,Regular Season,Mainichi Daiei Orions,28,"Desa, Dick",P,26,14,10,0.200,0.200,0.300,0.500,0,3,2,1,1,0,0,3,0,0,0,0,5,0,0,3,1,01003823
1963,Regular Season,Kokutetsu Swallows,20,"Miyashita, Yogo",P,1,0,0,0.000,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01003827
1963,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",P,61,71,59,0.136,0.190,0.271,0.461,6,7,8,4,2,0,2,16,0,0,4,0,16,2,0,7,1,01103802
1963,Regular Season,Hanshin Tigers,12,"Iio, Tameo",P,12,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,01103803
1963,Regular Season,Kintetsu Buffaloes,3,"Iko, Teruo",PH,109,169,156,0.205,0.266,0.282,0.548,9,14,32,25,4,1,2,44,1,1,9,0,21,5,4,0,0,01103804
1963,Regular Season,Taiyo Whales,12,"Aso, Saneo",PH,48,50,46,0.152,0.204,0.217,0.421,1,3,7,6,0,0,1,10,0,0,3,0,5,3,0,0,1,01103808
1963,Japan Series,Nishitetsu Lions,11,"Inoe, Yoshio",P,2,,1,0.000,,0.000,,,0,0,0,0,0,0,0,0,,0,,1,,,,,01103821
