Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1937 Fall,Regular Season,Lion Baseball Club,16,"Hara, Ichiro",C,20,68,64,0.234,0.279,0.297,0.576,8,8,15,13,1,0,1,19,1,,4,,6,,0,0,,01003874
1937 Spring,Regular Season,Dai Tokyo,16,"Hara, Ichiro",C,5,3,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,01003874
1937 Spring,Regular Season,Osaka Tigers,23,"Hara, Ichiro",C,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,01003874
1937 Fall,Regular Season,Lion Baseball Club,3,"Asahara, Naoto",1B,37,160,139,0.173,0.272,0.309,0.581,19,25,24,13,5,4,2,43,4,,19,,28,,0,2,,01103872
1937 Spring,Regular Season,Dai Tokyo,3,"Asahara, Naoto",1B,51,196,179,0.229,0.296,0.341,0.637,21,24,41,28,8,3,2,61,9,,17,,23,,0,0,,01103872
1937 Spring,Regular Season,Nagoya Club,15,"Ito, Kunio",P,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,01103874
1937 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,46,178,149,0.201,0.328,0.336,0.664,20,18,30,19,5,3,3,50,3,,26,,37,,2,1,,01203872
1937 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,52,202,173,0.266,0.355,0.422,0.777,20,19,46,31,6,6,3,73,11,,23,,36,,1,5,,01203872
1937 Fall,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",RF,6,8,8,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0,0,1,,0,,2,,0,0,,01203874
1937 Spring,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",RF,3,3,3,0.333,0.333,0.667,1.000,0,0,1,0,1,0,0,2,0,,0,,0,,0,0,,01203874
1937 Spring,Regular Season,Nagoya Club,5,"Iwata, Tsuguo",3B,43,153,131,0.214,0.313,0.229,0.542,10,14,28,26,2,0,0,30,3,,19,,11,,0,3,,01303872
1937 Spring,Regular Season,Tokyo Senators,19,"Iwata, Tsuguo",3B,10,39,31,0.194,0.359,0.194,0.553,4,1,6,6,0,0,0,6,0,,8,,2,,0,0,,01303872
1937 Fall,Regular Season,Nagoya Club,19,"Osawa, Nobuo",3B,47,205,177,0.271,0.365,0.356,0.721,14,23,48,35,11,2,0,63,2,,26,,12,,0,2,,01303874
1937 Spring,Regular Season,Nagoya Club,19,"Osawa, Nobuo",3B,49,179,148,0.257,0.375,0.324,0.699,15,17,38,29,8,1,0,48,3,,28,,15,,0,3,,01303874
1937 Fall,Regular Season,Lion Baseball Club,8,"Tsubochi, Michinori",CF,49,217,199,0.236,0.293,0.302,0.595,24,23,47,38,6,2,1,60,6,,16,,17,,0,2,,01403872
1937 Spring,Regular Season,Dai Tokyo,8,"Tsubochi, Michinori",CF,44,155,145,0.241,0.290,0.310,0.600,16,8,35,28,5,1,1,45,11,,10,,22,,0,0,,01403872
1937 Fall,Regular Season,Hankyu Club,21,"Mori, Kotaro",PH,9,8,7,0.143,0.250,0.143,0.393,0,0,1,1,0,0,0,1,0,,1,,3,,0,0,,01403874
1937 Spring,Regular Season,Hankyu Club,21,"Mori, Kotaro",PH,3,6,5,0.200,0.333,0.200,0.533,1,0,1,1,0,0,0,1,0,,1,,0,,0,0,,01403874
1937 Fall,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",RF,30,37,30,0.200,0.351,0.200,0.551,4,1,6,6,0,0,0,6,2,,7,,3,,0,0,,01503874
1937 Spring,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",RF,47,94,77,0.143,0.205,0.182,0.387,11,6,11,9,1,1,0,14,4,,4,,10,,2,11,,01503874
1937 Fall,Regular Season,Nagoya Golden Dolphins,1,"Nakamura, Teruo",C,49,180,148,0.216,0.341,0.270,0.611,23,17,32,25,6,1,0,40,7,,26,,18,,2,4,,01603872
1937 Spring,Regular Season,Nagoya Golden Dolphins,1,"Nakamura, Teruo",C,53,195,151,0.225,0.394,0.272,0.666,16,11,34,29,3,2,0,41,6,,42,,14,,0,2,,01603872
1937 Fall,Regular Season,Nagoya Club,17,"Tanaka, Minoru",P,29,81,75,0.200,0.241,0.227,0.468,6,7,15,14,0,1,0,17,0,,4,,4,,0,2,,01703874
