Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1938 Fall,Regular Season,Lion Baseball Club,16,"Hara, Ichiro",C,4,16,13,0.154,0.313,0.154,0.467,1,2,2,2,0,0,0,2,0,,3,,3,,0,0,,01003874
1938 Spring,Regular Season,Lion Baseball Club,16,"Hara, Ichiro",C,21,74,67,0.254,0.324,0.254,0.578,7,3,17,17,0,0,0,17,1,,7,,7,,0,0,,01003874
1938 Fall,Regular Season,Tokyo Kyojin,27,"Yoshihara, Masaki",C,40,149,129,0.194,0.297,0.202,0.499,18,11,25,24,1,0,0,26,5,,19,,18,,0,1,,01003876
1938 Spring,Regular Season,Tokyo Kyojin,27,"Yoshihara, Masaki",C,34,125,102,0.265,0.390,0.382,0.772,18,14,27,22,1,1,3,39,4,,21,,12,,0,2,,01003876
1938 Fall,Regular Season,Nagoya Club,15,"Ito, Kunio",P,9,9,9,0.111,0.111,0.222,0.333,1,1,1,0,1,0,0,2,0,,0,,4,,0,0,,01103874
1938 Spring,Regular Season,Nagoya Club,15,"Ito, Kunio",P,2,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,1,,0,0,,01103874
1938 Fall,Regular Season,Nagoya Golden Dolphins,18,"Isobe, Takeo",PH,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,1,,0,0,,01103876
1938 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,38,163,127,0.197,0.370,0.283,0.653,14,15,25,19,3,1,2,36,7,,35,,28,,0,1,,01203872
1938 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,35,144,115,0.209,0.359,0.270,0.629,12,12,24,20,1,3,0,31,1,,27,,28,,0,2,,01203872
1938 Fall,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",RF,11,32,28,0.214,0.313,0.393,0.706,4,6,6,4,0,1,1,11,0,,4,,4,,0,0,,01203874
1938 Spring,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",RF,1,3,3,0.667,0.667,0.667,1.334,1,2,2,2,0,0,0,2,0,,0,,0,,0,0,,01203874
1938 Fall,Regular Season,Nagoya Club,4,"Osawa, Nobuo",1B,40,174,147,0.272,0.382,0.313,0.695,17,24,40,35,4,1,0,46,7,,26,,12,,0,1,,01303874
1938 Spring,Regular Season,Nagoya Club,4,"Osawa, Nobuo",1B,34,146,118,0.229,0.372,0.322,0.694,15,19,27,20,4,2,1,38,1,,27,,6,,0,1,,01303874
1938 Fall,Regular Season,Tokyo Kyojin,16,"Kawakami, Tetsuharu",1B,39,155,133,0.263,0.359,0.398,0.757,24,24,35,26,3,3,3,53,2,,20,,16,,0,2,,01303876
