Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
1936 Spring,Regular Season,Nagoya Club,3,"Sakurai, Shozo",P,1,4,4,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,2,,0,0,,01003872
1936 Fall,Regular Season,Dai Tokyo,17,"Asahara, Naoto",1B,20,82,76,0.224,0.272,0.250,0.522,8,5,17,15,2,0,0,19,4,,5,,10,,0,1,,01103872
1936 Fall,Regular Season,Nagoya Club,8,"Asahara, Naoto",1B,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,,0,,1,,0,0,,01103872
1936 Spring,Regular Season,Nagoya Club,8,"Asahara, Naoto",1B,6,20,16,0.125,0.263,0.188,0.451,5,1,2,1,1,0,0,3,2,,3,,3,,0,1,,01103872
1936 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,18,51,40,0.125,0.286,0.150,0.436,6,4,5,4,1,0,0,6,2,,9,,11,,0,2,,01203872
1936 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,7,29,25,0.240,0.321,0.320,0.641,4,1,6,4,2,0,0,8,0,,2,,6,,1,1,,01203872
1936 Fall,Regular Season,Nagoya Club,10,"Iwata, Tsuguo",3B,26,103,89,0.157,0.265,0.202,0.467,9,7,14,12,1,0,1,18,2,,12,,13,,1,1,,01303872
1936 Spring,Regular Season,Nagoya Club,10,"Iwata, Tsuguo",3B,13,54,47,0.213,0.288,0.340,0.628,5,5,10,6,3,0,1,16,0,,4,,4,,1,2,,01303872
1936 Fall,Regular Season,Dai Tokyo,16,"Tsubochi, Michinori",CF,28,117,103,0.262,0.339,0.272,0.611,13,4,27,26,1,0,0,28,13,,12,,13,,0,2,,01403872
1936 Spring,Regular Season,Nagoya Club,9,"Okamura, Nobuo",3B,2,6,4,0.250,0.500,0.250,0.750,0,2,1,1,0,0,0,1,0,,2,,0,,0,0,,01503872
