Season,Game Type,Team,#,Name,Position,G,PA,AB,BA,OBP,SLG,OPS,R,RBI,H,1B,2B,3B,HR,TB,SB,CS,BB,IBB,K,DP,DB,SH,SF,PlayerID
2004,Regular Season,Yomiuri Giants,44,"Horita, Ichiro",RF,24,56,50,0.260,0.315,0.540,0.855,6,8,13,6,3,1,3,27,0,0,4,0,12,0,0,2,0,01003884
2004,Regular Season,Yokohama BayStars,33,"Furuki, Katsuaki",PH,94,208,186,0.290,0.365,0.484,0.849,26,27,54,40,3,0,11,90,3,0,19,1,57,1,3,0,0,01003888
2004,Regular Season,Chunichi Dragons,22,"Yanagisawa, Yuichi",C,38,72,62,0.242,0.329,0.339,0.668,7,10,15,11,3,0,1,21,1,0,6,0,24,2,2,2,0,01003889
2004,Climax Series - Final Stage,Seibu Lions,3,"Nakajima, Hiroyuki",SS,5,,17,0.176,,0.353,,,1,3,2,0,0,1,6,0,,3,,4,,,,,01005113
2004,Climax Series - First Stage,Seibu Lions,3,"Nakajima, Hiroyuki",SS,15,,12,0.167,,0.167,,,0,2,2,0,0,0,2,0,,0,,2,,,,,01005113
2004,Japan Series,Seibu Lions,3,"Nakajima, Hiroyuki",SS,15,,25,0.240,,0.520,,,2,6,3,1,0,2,13,0,,3,,6,,,,,01005113
2004,Regular Season,Seibu Lions,3,"Nakajima, Hiroyuki",SS,133,559,502,0.287,0.349,0.504,0.853,70,90,144,92,22,3,27,253,18,2,39,7,108,7,11,3,4,01005113
2004,Regular Season,Yakult Swallows,16,"Takai, Yuhei",P,10,17,16,0.313,0.313,0.313,0.626,0,0,5,5,0,0,0,5,0,0,0,0,7,0,0,1,0,01005117
2004,Regular Season,Yomiuri Giants,60,"Hiraoka, Masaki",P,7,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01005119
2004,Regular Season,Yakult Swallows,61,"Ishii, Hirotoshi",P,38,3,3,0.333,0.333,1.333,1.666,1,1,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,01103882
2004,Regular Season,Yomiuri Giants,2,"Motoki, Daisuke",PH,55,128,121,0.240,0.273,0.331,0.604,11,13,29,22,5,0,2,40,0,1,6,0,24,3,0,0,1,01103883
2004,Regular Season,Osaka Kintetsu Buffaloes,8,"Isobe, Koichi",RF,120,529,457,0.309,0.391,0.532,0.923,82,75,141,92,22,1,26,243,7,4,62,3,69,19,2,5,3,01103884
2004,Regular Season,Hanshin Tigers,29,"Igawa, Kei",P,29,78,67,0.060,0.100,0.075,0.175,1,1,4,3,1,0,0,5,0,0,3,0,30,1,0,8,0,01103886
