Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
1982,Regular Season,Hiroshima Toyo Carp,6,"Lyttle, Jim",OF,125,0.978,213,7,5,2,,01003844
1982,Regular Season,Kintetsu Buffaloes,9,"Hirano, Mitsuyasu",OF,117,0.993,266,7,2,2,,01003845
1982,Regular Season,Lotte Orions,7,"Lee, Leon",1B,128,0.991,1079,95,11,102,,01003846
1982,Regular Season,Nippon-Ham Fighters,33,"Murai, Hideshi",C,1,1.000,1,0,0,0,0,01003849
1982,Regular Season,Nippon-Ham Fighters,33,"Murai, Hideshi",OF,35,1.000,29,1,0,0,,01003849
1982,Regular Season,Nankai Hawks,31,"Mizutani, Shigeo",P,7,0.500,0,1,1,0,,01003861
1982,Regular Season,Hanshin Tigers,32,"Hikima, Katsuyuki",2B,1,1.000,2,1,0,0,,01003863
1982,Regular Season,Hankyu Braves,34,"Mori, Koji",P,4,1.000,1,1,0,0,,01003865
1982,Regular Season,Yomiuri Giants,35,"Awaguchi, Kenji",OF,110,0.986,138,3,2,0,,01103843
1982,Regular Season,Nippon-Ham Fighters,27,"Omiya, Tatsuo",C,110,0.996,620,64,3,12,7,01103844
1982,Regular Season,Chunichi Dragons,31,"Ishii, Akio",OF,41,0.947,18,0,1,0,,01103846
1982,Regular Season,Hiroshima Toyo Carp,11,"Ikegaya, Kojiro",P,17,0.875,6,8,2,2,,01103849
1982,Regular Season,Chunichi Dragons,17,"Ushijima, Kazuhiko",P,53,0.900,4,14,2,0,,01103861
1982,Regular Season,Nankai Hawks,52,"Inoe, Yuji",P,21,0.917,3,8,1,0,,01103863
1982,Regular Season,Hiroshima Toyo Carp,60,"Imai, Joji",2B,2,1.000,0,3,0,0,,01103865
1982,Regular Season,Hiroshima Toyo Carp,60,"Imai, Joji",3B,1,0.500,1,0,1,0,,01103865
1982,Regular Season,Hiroshima Toyo Carp,60,"Imai, Joji",OF,1,0.000,0,0,0,0,,01103865
1982,Regular Season,Hiroshima Toyo Carp,60,"Imai, Joji",SS,1,1.000,1,0,0,0,,01103865
1982,Regular Season,Nippon-Ham Fighters,43,"Wada, Hiromori",OF,3,1.000,1,0,0,0,,01203865
1982,Regular Season,Lotte Orions,34,"Kenmotsu, Takahiro",OF,97,0.989,165,11,2,3,,01303842
1982,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",P,56,1.000,8,39,0,3,,01303844
1982,Regular Season,Yokohama Taiyo Whales,15,"Kadota, Fumiaki",P,30,0.940,16,31,3,2,,01303846
1982,Regular Season,Lotte Orions,14,"Okue, Hideyuki",P,5,1.000,1,3,0,2,,01303847
1982,Regular Season,Chunichi Dragons,46,"Kawamata, Yonetoshi",1B,6,0.952,19,1,1,0,,01303848
1982,Regular Season,Chunichi Dragons,46,"Kawamata, Yonetoshi",OF,3,1.000,2,0,0,0,,01303848
1982,Regular Season,Lotte Orions,26,"Omata, Susumu",P,27,0.955,3,18,1,0,,01303849
1982,Regular Season,Yakult Swallows,13,"Kataoka, Daizo",P,1,0.000,0,0,0,0,,01303861
1982,Regular Season,Kintetsu Buffaloes,43,"Oishi, Daijiro",2B,129,0.986,305,377,10,86,,01303863
1982,Regular Season,Kintetsu Buffaloes,43,"Oishi, Daijiro",3B,1,0.000,0,0,0,0,,01303863
1982,Regular Season,Seibu Lions,26,"Kanamori, Eiji",C,4,1.000,9,0,0,0,0,01303865
1982,Regular Season,Chunichi Dragons,23,"Kimata, Tatsuhiko",C,5,1.000,16,1,0,0,1,01503829
1982,Regular Season,Seibu Lions,39,"Kuroda, Masahiro",C,68,1.000,215,22,0,5,2,01503845
1982,Regular Season,Yokohama Taiyo Whales,41,"Shimizu, Hiroyoshi",1B,8,1.000,8,1,0,0,,01503847
1982,Regular Season,Yokohama Taiyo Whales,41,"Shimizu, Hiroyoshi",2B,1,0.000,0,0,0,0,,01503847
1982,Regular Season,Yokohama Taiyo Whales,41,"Shimizu, Hiroyoshi",3B,2,0.667,0,2,1,0,,01503847
1982,Regular Season,Hiroshima Toyo Carp,37,"Kimoto, Shigemi",C,7,1.000,17,0,0,0,2,01503849
1982,Regular Season,Hankyu Braves,44,"Cage, Wayne",1B,111,0.997,962,61,3,80,,01503863
1982,Regular Season,Nippon-Ham Fighters,47,"Sakamaki, Akira",P,15,1.000,2,12,0,0,,01503865
1982,Regular Season,Nippon-Ham Fighters,18,"Takahashi, Kazumi",P,26,1.000,11,22,0,3,,01703820
1982,Regular Season,Yomiuri Giants,27,"Ninomiya, Itaru",OF,44,1.000,11,1,0,0,,01703844
1982,Regular Season,Nippon-Ham Fighters,39,"Solaita, Tony",OF,1,0.000,0,0,0,0,,01703861
1982,Regular Season,Hanshin Tigers,55,"Seike, Masakazu",1B,1,1.000,2,0,0,0,,01703863
1982,Regular Season,Hiroshima Toyo Carp,56,"Takagi, Nobuhiro",P,14,1.000,1,5,0,0,,01703865
1982,Regular Season,Yokohama Taiyo Whales,2,"Nakatsuka, Masayuki",1B,8,0.981,48,5,1,6,,01903826
1982,Regular Season,Yokohama Taiyo Whales,2,"Nakatsuka, Masayuki",OF,37,1.000,31,0,0,0,,01903826
1982,Regular Season,Seibu Lions,21,"Higashio, Osamu",P,28,0.986,18,53,1,2,,01903828
1982,Regular Season,Lotte Orions,43,"Doi, Kenji",C,36,0.993,130,18,1,2,5,01903841
1982,Regular Season,Hankyu Braves,28,"Fujishiro, Kazuaki",P,19,1.000,1,7,0,0,,01903844
1982,Regular Season,Chunichi Dragons,24,"Mizutani, Hiroaki",P,31,1.000,1,5,0,0,,01903848
1982,Regular Season,Chunichi Dragons,9,"Nakao, Takayoshi",C,119,0.990,729,76,8,13,12,01903863
1982,Regular Season,Yakult Swallows,4,"Briggs, Dan",OF,53,0.972,103,0,3,0,,01903865
1982,Regular Season,Lotte Orions,16,"Mochizuki, Takuya",P,7,1.000,1,3,0,1,,11013844
1982,Regular Season,Yomiuri Giants,15,"Yamakura, Kazuhiro",C,129,0.988,779,60,10,5,1,11013846
1982,Regular Season,Hanshin Tigers,7,"Mayumi, Akinobu",1B,4,1.000,6,0,0,0,,11013847
1982,Regular Season,Hanshin Tigers,7,"Mayumi, Akinobu",OF,1,1.000,1,0,0,0,,11013847
1982,Regular Season,Hanshin Tigers,7,"Mayumi, Akinobu",SS,130,0.975,220,363,15,65,,11013847
1982,Regular Season,Nankai Hawks,35,"Yoshida, Hiroyuki",C,25,1.000,44,2,0,1,1,11013848
1982,Regular Season,Hanshin Tigers,47,"Fujiwara, Masashi",P,20,1.000,3,18,0,3,,11013861
1982,Regular Season,Kintetsu Buffaloes,36,"Harris, Vic",OF,74,0.982,158,3,3,1,,11013863
1982,Regular Season,Kintetsu Buffaloes,27,"Mitsui, Masakazu",1B,3,1.000,6,0,0,0,,11013865
1982,Regular Season,Chunichi Dragons,56,"Yasuki, Shoji",P,26,0.909,2,8,1,0,,11213828
1982,Regular Season,Lotte Orions,46,"Yasuki, Shoji",P,5,1.000,0,1,0,0,,11213828
1982,Regular Season,Yokohama Taiyo Whales,14,"Horii, Tsuneo",P,6,1.000,0,2,0,0,,11213863
1982,Regular Season,Yokohama Taiyo Whales,30,"Yamaguchi, Tadayoshi",P,17,1.000,0,6,0,1,,11213865
1982,Regular Season,Yakult Swallows,43,"Kamizuru, Hiroshi",P,3,1.000,0,2,0,0,,11313842
1982,Regular Season,Nankai Hawks,32,"Oka, Yoshiaki",OF,56,1.000,31,3,0,1,,11313845
1982,Regular Season,Nankai Hawks,32,"Oka, Yoshiaki",SS,6,1.000,1,2,0,1,,11313845
1982,Regular Season,Hanshin Tigers,18,"Omachi, Sadao",P,35,0.929,3,10,1,1,,11313861
1982,Regular Season,Seibu Lions,46,"Ozawa, Makoto",OF,4,1.000,1,0,0,0,,11313865
1982,Regular Season,Yakult Swallows,28,"Yaegashi, Yukio",C,61,0.988,289,40,4,5,7,11413843
1982,Regular Season,Hanshin Tigers,25,"Yamamoto, Kazuyuki",P,63,0.867,4,22,4,2,,11413845
1982,Regular Season,Hankyu Braves,29,"Kawamura, Kenichiro",C,1,0.000,0,0,0,0,0,11513845
1982,Regular Season,Hankyu Braves,26,"Kobayashi, Shinya",OF,108,0.994,163,5,1,2,,11513846
1982,Regular Season,Hanshin Tigers,31,"Kakefu, Masayuki",3B,130,0.966,122,272,14,16,,11513849
1982,Regular Season,Yokohama Taiyo Whales,23,"Kikuchi, Kyoichi",OF,11,0.875,7,0,1,0,,11513865
1982,Regular Season,Yakult Swallows,1,"Wakamatsu, Tsutomu",OF,102,0.995,180,11,1,2,,11613843
1982,Regular Season,Kintetsu Buffaloes,34,"Murata, Tatsumi",P,25,1.000,4,39,0,3,,11713840
1982,Regular Season,Hiroshima Toyo Carp,2,"Takahashi, Yoshihiko",SS,130,0.963,246,385,24,65,,11713842
1982,Regular Season,Yomiuri Giants,5,"Kono, Kazumasa",SS,127,0.972,194,318,15,65,,11713843
1982,Regular Season,Lotte Orions,36,"Doi, Masashi",P,15,1.000,1,2,0,0,,11713844
1982,Regular Season,Seibu Lions,38,"Kono, Junki",2B,3,1.000,1,1,0,0,,11713863
1982,Regular Season,Seibu Lions,38,"Kono, Junki",SS,1,1.000,0,1,0,0,,11713863
1982,Regular Season,Kintetsu Buffaloes,22,"Sumitomo, Kazuya",P,4,1.000,0,2,0,0,,11713865
1982,Regular Season,Hanshin Tigers,2,"Takenochi, Masashi",OF,2,1.000,1,0,0,0,,11913826
1982,Regular Season,Nankai Hawks,26,"Fujita, Manabu",P,25,1.000,4,26,0,4,,11913842
1982,Regular Season,Yokohama Taiyo Whales,11,"Takeuchi, Hiroaki",P,33,1.000,3,17,0,2,,11913845
1982,Regular Season,Hankyu Braves,53,"Fujimoto, Masaharu",2B,5,1.000,2,4,0,2,,11913846
1982,Regular Season,Hankyu Braves,53,"Fujimoto, Masaharu",3B,1,0.000,0,0,0,0,,11913846
1982,Regular Season,Hankyu Braves,53,"Fujimoto, Masaharu",SS,1,0.667,1,3,2,1,,11913846
1982,Regular Season,Hiroshima Toyo Carp,19,"Niimi, Satoshi",P,1,1.000,0,1,0,0,,11913847
1982,Regular Season,Yokohama Taiyo Whales,20,"Masumoto, Hiroshi",P,11,1.000,1,1,0,0,,11913848
1982,Regular Season,Seibu Lions,6,"Suzuki, Haruhiko",1B,5,1.000,21,1,0,3,,11913849
1982,Regular Season,Seibu Lions,6,"Suzuki, Haruhiko",OF,3,1.000,3,0,0,0,,11913849
1982,Regular Season,Nippon-Ham Fighters,20,"Takahashi, Masami",P,1,1.000,0,1,0,0,,11913861
1982,Regular Season,Yakult Swallows,12,"Tachino, Masashi",P,32,0.900,3,24,3,1,,11913863
1982,Regular Season,Lotte Orions,32,"Nishimura, Norifumi",2B,2,0.000,0,0,0,0,,11913865
1982,Regular Season,Yokohama Taiyo Whales,10,"Fukushima, Hisaaki",1B,1,1.000,2,1,0,1,,21023824
1982,Regular Season,Yokohama Taiyo Whales,10,"Fukushima, Hisaaki",C,50,0.969,137,18,5,1,4,21023824
1982,Regular Season,Lotte Orions,3,"Hirota, Sumio",OF,103,0.982,218,6,4,1,,21023845
1982,Regular Season,Nankai Hawks,13,"Miura, Masaki",P,5,1.000,2,3,0,1,,21023847
1982,Regular Season,Chunichi Dragons,43,"Hirata, Tsuneo",OF,3,1.000,2,0,0,0,,21023863
1982,Regular Season,Hiroshima Toyo Carp,57,"Mori, Kozo",P,4,0.000,0,0,0,0,,21023865
1982,Regular Season,Hankyu Braves,50,"Iwamoto, Yoshihiro",SS,8,0.939,4,27,2,7,,21123865
1982,Regular Season,Yokohama Taiyo Whales,5,"Motoi, Mitsuo",2B,103,0.979,206,270,10,28,,21223824
1982,Regular Season,Kintetsu Buffaloes,31,"Moriwaki, Hiroshi",SS,55,0.969,106,145,8,34,,21223863
1982,Regular Season,Hanshin Tigers,36,"Watanabe, Chosuke",C,6,1.000,9,0,0,0,0,21223865
1982,Regular Season,Seibu Lions,41,"Kobayashi, Seiji",P,13,1.000,2,3,0,0,,21323842
1982,Regular Season,Yokohama Taiyo Whales,9,"Saito, Ko",2B,2,1.000,2,5,0,2,,21323844
1982,Regular Season,Yokohama Taiyo Whales,9,"Saito, Ko",3B,1,1.000,2,3,0,0,,21323844
1982,Regular Season,Kintetsu Buffaloes,16,"Kubo, Yasuo",P,26,1.000,9,40,0,3,,21323846
1982,Regular Season,Yakult Swallows,24,"Okawa, Akira",P,14,1.000,2,7,0,1,,21323863
1982,Regular Season,Hiroshima Toyo Carp,47,"Kaneishi, Akihito",P,2,1.000,0,1,0,0,,21323865
1982,Regular Season,Hanshin Tigers,53,"Yoshitake, Haruki",OF,35,1.000,23,0,0,0,,21423863
1982,Regular Season,Lotte Orions,28,"Tamura, Isao",P,19,1.000,6,8,0,1,,21523842
1982,Regular Season,Nankai Hawks,42,"Tyrone, Jim",OF,110,0.978,256,9,6,4,,21523848
1982,Regular Season,Chunichi Dragons,45,"Kurioka, Hidetomo",OF,5,1.000,2,0,0,0,,21523861
1982,Regular Season,Hanshin Tigers,44,"Johnston, Greg",OF,101,0.970,157,3,5,0,,21523865
1982,Regular Season,Lotte Orions,15,"Takahashi, Hiroshi",C,42,0.992,107,24,1,3,1,21723820
1982,Regular Season,Hankyu Braves,25,"Takai, Yasuhiro",1B,9,1.000,40,1,0,2,,21723822
1982,Regular Season,Yokohama Taiyo Whales,8,"Tsuji, Yasuhiko",C,74,0.987,276,31,4,6,2,21723827
1982,Regular Season,Lotte Orions,20,"Nishina, Tokinari",P,27,0.964,11,42,2,6,,21723844
1982,Regular Season,Yakult Swallows,9,"Sugiura, Toru",1B,76,0.995,510,38,3,43,,21723845
1982,Regular Season,Yakult Swallows,9,"Sugiura, Toru",OF,84,0.988,159,4,2,0,,21723845
1982,Regular Season,Nankai Hawks,34,"Hirasawa, Takayoshi",P,15,1.000,2,1,0,0,,21723846
1982,Regular Season,Kintetsu Buffaloes,20,"Nakane, Masahiro",1B,5,0.978,39,5,1,4,,21723847
1982,Regular Season,Kintetsu Buffaloes,20,"Nakane, Masahiro",OF,3,1.000,4,0,0,0,,21723847
1982,Regular Season,Lotte Orions,35,"Shoji, Tomohisa",OF,83,0.983,169,8,3,1,,21723849
1982,Regular Season,Chunichi Dragons,22,"Sota, Yasuji",P,5,1.000,1,1,0,1,,21723863
1982,Regular Season,Hiroshima Toyo Carp,13,"Takahashi, Toshiharu",P,24,0.923,3,9,1,1,,21723865
1982,Regular Season,Lotte Orions,23,"Mizukami, Yoshio",SS,129,0.976,263,385,16,84,,21923842
1982,Regular Season,Kintetsu Buffaloes,40,"Fujise, Shiro",OF,33,1.000,13,1,0,0,,21923844
1982,Regular Season,Hanshin Tigers,14,"Nakamura, Katsuhiro",1B,28,0.986,65,4,1,2,,21923845
1982,Regular Season,Chunichi Dragons,28,"Miyako, Yujiro",P,43,0.986,11,60,1,6,,21923848
1982,Regular Season,Hiroshima Toyo Carp,66,"Nagashima, Kiyoyuki",OF,47,0.964,78,3,3,0,,21923861
1982,Regular Season,Hanshin Tigers,28,"Nakada, Yoshihiro",P,1,1.000,1,0,0,0,,21923863
1982,Regular Season,Hankyu Braves,40,"Fukuhara, Mineo",2B,18,0.938,6,9,1,0,,21923865
1982,Regular Season,Hankyu Braves,40,"Fukuhara, Mineo",3B,8,1.000,4,4,0,0,,21923865
1982,Regular Season,Hankyu Braves,40,"Fukuhara, Mineo",SS,4,1.000,2,3,0,1,,21923865
1982,Regular Season,Hanshin Tigers,6,"Fujita, Taira",1B,114,0.997,981,55,3,65,,31033822
1982,Regular Season,Nankai Hawks,7,"Fujiwara, Mitsuru",1B,11,1.000,118,3,0,9,,31033828
1982,Regular Season,Nankai Hawks,7,"Fujiwara, Mitsuru",3B,115,0.962,93,184,11,22,,31033828
1982,Regular Season,Yakult Swallows,16,"Nishii, Tetsuo",P,22,0.909,3,7,1,1,,31033841
1982,Regular Season,Yomiuri Giants,44,"Yamamoto, Koji",1B,30,1.000,154,13,0,11,,31033842
1982,Regular Season,Yomiuri Giants,44,"Yamamoto, Koji",OF,70,0.990,93,4,1,1,,31033842
1982,Regular Season,Nankai Hawks,22,"Moriguchi, Masumitsu",P,21,1.000,3,14,0,0,,31033844
1982,Regular Season,Hiroshima Toyo Carp,23,"Yamasaki, Ryuzo",2B,53,0.980,114,130,5,21,,31033846
1982,Regular Season,Hiroshima Toyo Carp,23,"Yamasaki, Ryuzo",3B,1,1.000,0,1,0,0,,31033846
1982,Regular Season,Hiroshima Toyo Carp,23,"Yamasaki, Ryuzo",OF,29,1.000,25,0,0,0,,31033846
1982,Regular Season,Yakult Swallows,58,"Ramoto, Shinji",3B,1,0.000,0,0,0,0,,31033848
1982,Regular Season,Yakult Swallows,58,"Ramoto, Shinji",OF,1,0.000,0,0,0,0,,31033848
1982,Regular Season,Yomiuri Giants,10,"White, Roy",OF,92,0.979,136,3,3,0,,31033861
1982,Regular Season,Hankyu Braves,32,"Minamimure, Toyozo",OF,4,1.000,5,0,0,0,,31033865
1982,Regular Season,Yakult Swallows,50,"Aoki, Minoru",OF,71,1.000,61,0,0,0,,31133842
1982,Regular Season,Chunichi Dragons,7,"Uno, Masaru",SS,124,0.957,233,345,26,79,,31133844
1982,Regular Season,Lotte Orions,1,"Aiko, Takeshi",P,5,1.000,2,2,0,1,,31133863
1982,Regular Season,Hanshin Tigers,40,"Allen, Kim",1B,1,1.000,8,1,0,0,,31133865
1982,Regular Season,Hanshin Tigers,40,"Allen, Kim",OF,73,0.993,141,1,1,0,,31133865
1982,Regular Season,Nankai Hawks,20,"Yamauchi, Shinichi",P,30,0.986,12,56,1,4,,31233828
1982,Regular Season,Kintetsu Buffaloes,26,"Yamamura, Tatsuya",P,6,1.000,3,2,0,0,,31233861
1982,Regular Season,Nankai Hawks,45,"Yamada, Tsutomu",OF,2,0.000,0,0,0,0,,31233865
1982,Regular Season,Lotte Orions,9,"Ejima, Takumi",OF,3,1.000,3,0,0,0,,31333826
1982,Regular Season,Nippon-Ham Fighters,14,"Kawahara, Shoji",P,38,1.000,10,27,0,0,,31333842
1982,Regular Season,Hankyu Braves,18,"Inaba, Mitsuo",P,18,1.000,10,17,0,1,,31333843
1982,Regular Season,Nankai Hawks,33,"Kubodera, Yuji",3B,4,1.000,4,4,0,0,,31333844
1982,Regular Season,Nankai Hawks,33,"Kubodera, Yuji",OF,93,0.989,172,6,2,0,,31333844
1982,Regular Season,Nankai Hawks,33,"Kubodera, Yuji",SS,10,0.952,7,13,1,3,,31333844
1982,Regular Season,Yomiuri Giants,21,"Kato, Hajime",P,24,0.977,10,32,1,2,,31333845
1982,Regular Season,Yakult Swallows,32,"Obana, Takao",1B,1,0.000,0,0,0,0,,31333846
1982,Regular Season,Yakult Swallows,32,"Obana, Takao",P,42,1.000,19,58,0,4,,31333846
1982,Regular Season,Yokohama Taiyo Whales,50,"Kato, Hidemi",P,10,1.000,0,7,0,0,,31333848
1982,Regular Season,Hanshin Tigers,16,"Okada, Akinobu",2B,128,0.987,280,350,8,60,,31333861
1982,Regular Season,Chunichi Dragons,14,"Onoe, Akira",2B,17,1.000,22,35,0,6,,31333865
1982,Regular Season,Chunichi Dragons,14,"Onoe, Akira",3B,9,1.000,2,3,0,0,,31333865
1982,Regular Season,Chunichi Dragons,14,"Onoe, Akira",SS,10,0.947,7,11,1,2,,31333865
1982,Regular Season,Seibu Lions,2,"Yamazaki, Hiroyuki",2B,117,0.988,224,347,7,68,,31433820
1982,Regular Season,Nankai Hawks,17,"Yamashita, Ritsuo",P,17,1.000,1,4,0,0,,31433824
1982,Regular Season,Seibu Lions,35,"Nemoto, Takashi",P,5,1.000,0,4,0,0,,31533840
1982,Regular Season,Lotte Orions,55,"Shinya, Yoshitaka",1B,5,1.000,13,1,0,4,,31533842
1982,Regular Season,Lotte Orions,55,"Shinya, Yoshitaka",OF,63,0.966,108,7,4,2,,31533842
1982,Regular Season,Nippon-Ham Fighters,8,"Shimada, Makoto",OF,124,0.993,271,3,2,1,,31533844
1982,Regular Season,Chunichi Dragons,34,"Komatsu, Tatsuo",P,28,1.000,5,10,0,0,,31533846
1982,Regular Season,Seibu Lions,14,"Kimura, Hiroshi",P,21,1.000,5,8,0,0,,31533861
1982,Regular Season,Yakult Swallows,30,"Kiminami, Takayoshi",C,3,1.000,6,1,0,0,0,31533865
1982,Regular Season,Chunichi Dragons,41,"Yazawa, Kenichi",1B,128,0.993,1112,64,8,101,,31633841
1982,Regular Season,Kintetsu Buffaloes,1,"Suzuki, Keishi",P,24,0.979,7,40,1,2,,31733822
1982,Regular Season,Kintetsu Buffaloes,53,"Tani, Hiroaki",P,28,0.936,9,35,3,2,,31733842
1982,Regular Season,Lotte Orions,49,"Tokuyama, Fumimune",OF,4,0.857,6,0,1,0,,31733844
1982,Regular Season,Yakult Swallows,33,"Torihara, Koji",P,21,1.000,3,9,0,1,,31733846
1982,Regular Season,Nankai Hawks,4,"Dotson, Gene",OF,45,0.970,93,5,3,1,,31733865
1982,Regular Season,Nippon-Ham Fighters,5,"Furuya, Hideo",3B,130,0.968,87,303,13,20,,31933846
1982,Regular Season,Kintetsu Buffaloes,3,"Hada, Koichi",1B,52,0.992,477,29,4,43,,31933847
1982,Regular Season,Kintetsu Buffaloes,3,"Hada, Koichi",3B,67,0.960,49,145,8,19,,31933847
1982,Regular Season,Nankai Hawks,11,"Takeguchi, Akinori",P,21,0.900,0,9,1,0,,31933861
