Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2017,Regular Season,Chiba Lotte Marines,47,"Tanaka, Yasuhiro",P,13,1.000,1,2,0,0,,01005112
2017,Regular Season,Orix Buffaloes,1,"Nakajima, Hiroyuki",1B,39,0.991,319,14,3,19,,01005113
2017,Regular Season,Orix Buffaloes,1,"Nakajima, Hiroyuki",3B,9,0.909,1,9,1,0,,01005113
2017,Regular Season,Yokohama DeNA Baystars,22,"Takasaki, Kentaro",P,1,0.000,0,0,0,0,,01005114
2017,Regular Season,Tokyo Yakult Swallows,41,"Takai, Yuhei",OF,69,0.982,104,3,2,0,,01005117
2017,Regular Season,Hanshin Tigers,9,"Takayama, Shun",OF,87,0.980,93,3,2,1,,01005132
2017,Climax Series - Final Stage,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,1,1.000,1,0,0,0,,01005133
2017,Japan Series,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,1,1.000,2,1,0,0,,01005133
2017,Regular Season,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,22,0.962,8,17,1,1,,01005133
2017,Climax Series - Final Stage,Fukuoka Softbank Hawks,30,"Takeda, Shota",P,1,1.000,2,3,0,1,,01005135
2017,Japan Series,Fukuoka Softbank Hawks,30,"Takeda, Shota",P,1,0.000,0,0,0,0,,01005135
2017,Regular Season,Fukuoka Softbank Hawks,30,"Takeda, Shota",P,13,0.947,3,15,1,1,,01005135
2017,Climax Series - Final Stage,Fukuoka Softbank Hawks,16,"Higashihama, Nao",P,1,1.000,0,2,0,0,,01005137
2017,Japan Series,Fukuoka Softbank Hawks,16,"Higashihama, Nao",P,2,1.000,1,3,0,1,,01005137
2017,Regular Season,Fukuoka Softbank Hawks,16,"Higashihama, Nao",P,24,0.966,7,21,1,4,,01005137
2017,Climax Series - Final Stage,Hiroshima Toyo Carp,25,"Arai, Takahiro",1B,4,1.000,31,2,0,5,,01103888
2017,Regular Season,Hiroshima Toyo Carp,25,"Arai, Takahiro",1B,70,0.998,491,46,1,37,,01103888
2017,Regular Season,Hanshin Tigers,32,"Arai, Ryota",1B,2,1.000,9,2,0,0,,01105112
2017,Regular Season,Hanshin Tigers,32,"Arai, Ryota",3B,1,1.000,1,1,0,0,,01105112
2017,Regular Season,Hanshin Tigers,32,"Arai, Ryota",OF,1,0.000,0,0,0,0,,01105112
2017,Regular Season,Hiroshima Toyo Carp,49,"Amaya, Soichiro",OF,33,1.000,17,0,0,0,,01105115
2017,Regular Season,Yokohama DeNA Baystars,30,"Iizuka, Satoshi",P,9,1.000,5,5,0,1,,01105130
2017,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",1B,50,0.997,308,25,1,19,,01105131
2017,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",3B,15,0.905,7,12,2,1,,01105131
2017,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",OF,4,1.000,5,0,0,0,,01105131
2017,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",SS,1,1.000,0,1,0,0,,01105131
2017,Regular Season,Orix Buffaloes,60,"Akama, Ken",P,7,1.000,1,3,0,0,,01105132
2017,Regular Season,Yokohama DeNA Baystars,4,"Aranami, Sho",OF,20,1.000,27,0,0,0,,01105133
2017,Regular Season,Yomiuri Giants,49,"Ishikawa, Shingo",OF,65,1.000,83,2,0,1,,01105135
2017,Regular Season,Fukuoka Softbank Hawks,42,"Iida, Yuya",P,19,1.000,2,3,0,0,,01105137
2017,Regular Season,Chiba Lotte Marines,2,"Nemoto, Shunichi",1B,35,0.996,233,18,1,15,,01205112
2017,Regular Season,Chiba Lotte Marines,2,"Nemoto, Shunichi",OF,2,1.000,4,0,0,0,,01205112
2017,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",1B,7,1.000,20,1,0,0,,01205114
2017,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",2B,18,1.000,27,26,0,9,,01205114
