Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
1936 Spring,Regular Season,Nagoya Club,3,"Sakurai, Shozo",P,1,,,,,,,01003872
1936 Fall,Regular Season,Dai Tokyo,17,"Asahara, Naoto",1B,15,0.961,170,4,7,6,,01103872
1936 Fall,Regular Season,Dai Tokyo,17,"Asahara, Naoto",C,5,0.972,24,11,1,3,6,01103872
1936 Spring,Regular Season,Nagoya Club,8,"Asahara, Naoto",1B,4,,,,,,,01103872
1936 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",2B,2,1.000,0,2,0,0,,01203872
1936 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",3B,11,0.892,10,23,4,1,,01203872
1936 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,4,0.933,7,7,1,2,,01203872
1936 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,7,,,,,,,01203872
1936 Fall,Regular Season,Nagoya Club,10,"Iwata, Tsuguo",3B,26,0.890,38,91,16,9,,01303872
1936 Spring,Regular Season,Nagoya Club,10,"Iwata, Tsuguo",3B,13,,,,,,,01303872
1936 Fall,Regular Season,Dai Tokyo,16,"Tsubochi, Michinori",OF,28,0.948,54,1,3,0,,01403872
1936 Spring,Regular Season,Nagoya Club,9,"Okamura, Nobuo",3B,2,,,,,,,01503872
1936 Fall,Regular Season,Nagoya Golden Dolphins,16,"Nakamura, Teruo",1B,3,1.000,11,1,0,0,,01603872
1936 Fall,Regular Season,Nagoya Golden Dolphins,16,"Nakamura, Teruo",C,19,0.964,93,13,4,0,5,01603872
1936 Spring,Regular Season,Nagoya Golden Dolphins,16,"Nakamura, Teruo",C,2,,,,,,,01603872
1936 Fall,Regular Season,Dai Tokyo,2,"Kimata, Takeo",OF,24,1.000,31,2,0,0,,01703872
1936 Spring,Regular Season,Dai Tokyo,2,"Kimata, Takeo",OF,13,,,,,,,01703872
1936 Fall,Regular Season,Nagoya Club,6,"Harris, Bucky",C,23,0.976,88,33,3,4,4,01803872
1936 Spring,Regular Season,Nagoya Club,6,"Harris, Bucky",C,15,,,,,,,01803872
1936 Spring,Regular Season,Nagoya Club,6,"Harris, Bucky",P,1,,,,,,,01803872
1936 Fall,Regular Season,Nagoya Club,1,"Kojima, Shigeo",1B,5,0.983,58,0,1,4,,01903872
1936 Fall,Regular Season,Osaka Tigers,11,"Fujii, Isamu",1B,10,1.000,68,4,0,1,,03103872
1936 Fall,Regular Season,Osaka Tigers,11,"Fujii, Isamu",OF,25,0.935,40,3,3,0,,03103872
1936 Spring,Regular Season,Osaka Tigers,11,"Fujii, Isamu",OF,15,,,,,,,03103872
1936 Fall,Regular Season,Nagoya Club,3,"Matsura, Kazuyoshi",P,17,1.000,7,35,0,3,,03303872
1936 Spring,Regular Season,Nagoya Club,3,"Matsura, Kazuyoshi",P,6,,,,,,,03303872
1936 Fall,Regular Season,Hankyu Club,1,"Miyatake, Saburo",3B,10,0.917,7,26,3,6,,03503872
1936 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",1B,7,,,,,,,03503872
1936 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",3B,6,,,,,,,03503872
1936 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",OF,6,,,,,,,03503872
1936 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",P,2,,,,,,,03503872
1936 Fall,Regular Season,Hankyu Club,2,"Yamashita, Minoru",1B,29,0.977,301,3,7,24,,03703872
1936 Spring,Regular Season,Hankyu Club,2,"Yamashita, Minoru",1B,6,,,,,,,03703872
1936 Spring,Regular Season,Hankyu Club,2,"Yamashita, Minoru",OF,12,,,,,,,03703872
1936 Fall,Regular Season,Dai Tokyo,15,"Kondo, Hisashi",P,12,1.000,2,15,0,1,,11013872
1936 Spring,Regular Season,Dai Tokyo,15,"Kondo, Hisashi",P,6,,,,,,,11013872
1936 Fall,Regular Season,Hankyu Club,8,"Shimamoto, Yoshifumi",C,13,0.971,61,5,2,0,1,11213872
1936 Fall,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",1B,18,0.989,171,4,2,21,,11313872
1936 Fall,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",OF,10,0.857,6,0,1,0,,11313872
1936 Spring,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",1B,5,,,,,,,11313872
1936 Fall,Regular Season,Tokyo Senators,22,"Takeda, Isamu",OF,7,0.900,8,1,1,0,,11413872
1936 Fall,Regular Season,Dai Tokyo,4,"Endo, Chujiro",1B,1,0.909,9,1,1,0,,11513872
1936 Fall,Regular Season,Dai Tokyo,4,"Endo, Chujiro",2B,6,0.818,6,3,2,0,,11513872
1936 Fall,Regular Season,Dai Tokyo,4,"Endo, Chujiro",3B,6,0.957,5,17,1,1,,11513872
1936 Fall,Regular Season,Dai Tokyo,4,"Endo, Chujiro",P,13,1.000,2,40,0,2,,11513872
1936 Spring,Regular Season,Dai Tokyo,4,"Endo, Chujiro",1B,2,,,,,,,11513872
1936 Spring,Regular Season,Dai Tokyo,4,"Endo, Chujiro",OF,2,,,,,,,11513872
1936 Spring,Regular Season,Dai Tokyo,4,"Endo, Chujiro",P,6,,,,,,,11513872
1936 Fall,Regular Season,Tokyo Kyojin,3,"Nakajima, Haruyasu",OF,18,1.000,28,3,0,1,,11613872
1936 Spring,Regular Season,Tokyo Kyojin,3,"Nakajima, Haruyasu",1B,2,,,,,,,11613872
1936 Spring,Regular Season,Tokyo Kyojin,3,"Nakajima, Haruyasu",OF,5,,,,,,,11613872
