Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
1937 Fall,Regular Season,Lion Baseball Club,16,"Hara, Ichiro",1B,1,0.909,10,0,1,0,,01003874
1937 Fall,Regular Season,Lion Baseball Club,16,"Hara, Ichiro",C,20,0.954,92,11,5,3,8,01003874
1937 Spring,Regular Season,Dai Tokyo,16,"Hara, Ichiro",C,4,0.875,6,1,1,0,0,01003874
1937 Spring,Regular Season,Osaka Tigers,23,"Hara, Ichiro",C,1,1.000,3,1,0,0,0,01003874
1937 Fall,Regular Season,Lion Baseball Club,3,"Asahara, Naoto",1B,37,0.970,367,19,12,37,,01103872
1937 Spring,Regular Season,Dai Tokyo,3,"Asahara, Naoto",1B,44,0.970,369,13,12,25,,01103872
1937 Spring,Regular Season,Dai Tokyo,3,"Asahara, Naoto",3B,6,0.750,4,8,4,1,,01103872
1937 Spring,Regular Season,Dai Tokyo,3,"Asahara, Naoto",C,4,0.750,5,1,2,0,3,01103872
1937 Spring,Regular Season,Nagoya Club,15,"Ito, Kunio",P,2,1.000,0,1,0,1,,01103874
1937 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",3B,1,0.667,0,2,1,1,,01203872
1937 Fall,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,46,0.875,80,173,36,31,,01203872
1937 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",2B,1,0.000,0,0,1,0,,01203872
1937 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",3B,45,0.883,30,128,21,10,,01203872
1937 Spring,Regular Season,Nagoya Golden Dolphins,19,"Sei, Kiyoshi",SS,6,0.909,15,15,3,1,,01203872
1937 Fall,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",OF,4,1.000,1,0,0,0,,01203874
1937 Spring,Regular Season,Osaka Tigers,27,"Matsuhiro, Kinichi",OF,2,0.000,0,0,1,0,,01203874
1937 Spring,Regular Season,Nagoya Club,5,"Iwata, Tsuguo",1B,3,0.923,22,2,2,4,,01303872
1937 Spring,Regular Season,Nagoya Club,5,"Iwata, Tsuguo",3B,32,0.897,30,101,15,15,,01303872
1937 Spring,Regular Season,Nagoya Club,5,"Iwata, Tsuguo",C,1,1.000,0,1,0,0,0,01303872
1937 Spring,Regular Season,Tokyo Senators,19,"Iwata, Tsuguo",3B,10,0.930,12,28,3,4,,01303872
1937 Fall,Regular Season,Nagoya Club,19,"Osawa, Nobuo",1B,19,0.993,136,5,1,18,,01303874
1937 Fall,Regular Season,Nagoya Club,19,"Osawa, Nobuo",3B,38,0.913,36,101,13,15,,01303874
1937 Spring,Regular Season,Nagoya Club,19,"Osawa, Nobuo",2B,12,0.914,27,26,5,8,,01303874
1937 Spring,Regular Season,Nagoya Club,19,"Osawa, Nobuo",3B,27,0.858,23,68,15,9,,01303874
1937 Spring,Regular Season,Nagoya Club,19,"Osawa, Nobuo",P,7,1.000,2,5,0,3,,01303874
1937 Fall,Regular Season,Lion Baseball Club,8,"Tsubochi, Michinori",OF,49,0.963,127,4,5,0,,01403872
1937 Spring,Regular Season,Dai Tokyo,8,"Tsubochi, Michinori",OF,41,0.918,87,3,8,1,,01403872
1937 Fall,Regular Season,Hankyu Club,21,"Mori, Kotaro",2B,1,1.000,0,1,0,0,,01403874
1937 Fall,Regular Season,Hankyu Club,21,"Mori, Kotaro",OF,1,0.000,0,0,0,0,,01403874
1937 Spring,Regular Season,Hankyu Club,21,"Mori, Kotaro",P,2,1.000,0,2,0,0,,01403874
1937 Fall,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",2B,1,1.000,7,3,0,0,,01503874
1937 Fall,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",3B,3,1.000,2,4,0,0,,01503874
1937 Fall,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",OF,21,1.000,10,0,0,0,,01503874
1937 Fall,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",SS,2,0.500,0,2,2,0,,01503874
1937 Spring,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",2B,1,1.000,0,1,0,0,,01503874
1937 Spring,Regular Season,Nagoya Golden Dolphins,11,"Sasaki, Tsunesuke",OF,45,0.972,69,1,2,0,,01503874
1937 Fall,Regular Season,Nagoya Golden Dolphins,1,"Nakamura, Teruo",C,49,0.980,193,49,5,7,9,01603872
1937 Spring,Regular Season,Nagoya Golden Dolphins,1,"Nakamura, Teruo",C,53,0.935,214,61,19,6,9,01603872
1937 Fall,Regular Season,Nagoya Club,17,"Tanaka, Minoru",3B,14,0.877,12,38,7,5,,01703874
1937 Fall,Regular Season,Nagoya Club,17,"Tanaka, Minoru",P,15,1.000,5,20,0,3,,01703874
1937 Fall,Regular Season,Nagoya Club,17,"Tanaka, Minoru",SS,3,0.800,2,2,1,0,,01703874
1937 Spring,Regular Season,Nagoya Club,17,"Tanaka, Minoru",P,36,1.000,3,31,0,3,,01703874
1937 Fall,Regular Season,Korakuen Eagles,23,"Harris, Bucky",C,49,0.974,214,52,7,7,1,01803872
1937 Spring,Regular Season,Korakuen Eagles,23,"Harris, Bucky",C,17,1.000,73,17,0,3,2,01803872
1937 Fall,Regular Season,Nagoya Club,1,"Kojima, Shigeo",1B,40,0.985,314,11,5,42,,01903872
1937 Spring,Regular Season,Nagoya Club,1,"Kojima, Shigeo",1B,52,0.983,511,15,9,46,,01903872
1937 Fall,Regular Season,Lion Baseball Club,6,"Tsutsui, Takao",SS,48,0.912,81,189,26,36,,01903874
1937 Spring,Regular Season,Dai Tokyo,6,"Tsutsui, Takao",SS,37,0.861,65,140,33,19,,01903874
1937 Fall,Regular Season,Osaka Tigers,11,"Fujii, Isamu",OF,49,0.978,87,3,2,1,,03103872
1937 Spring,Regular Season,Osaka Tigers,11,"Fujii, Isamu",1B,2,0.750,3,0,1,0,,03103872
1937 Spring,Regular Season,Osaka Tigers,11,"Fujii, Isamu",OF,56,0.970,95,1,3,0,,03103872
1937 Fall,Regular Season,Hankyu Club,1,"Miyatake, Saburo",1B,30,0.972,269,9,8,19,,03503872
1937 Fall,Regular Season,Hankyu Club,1,"Miyatake, Saburo",P,1,1.000,1,4,0,0,,03503872
1937 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",1B,20,0.973,176,3,5,12,,03503872
1937 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",3B,2,0.750,2,4,2,0,,03503872
1937 Spring,Regular Season,Hankyu Club,1,"Miyatake, Saburo",P,2,1.000,1,0,0,0,,03503872
1937 Fall,Regular Season,Hankyu Club,2,"Yamashita, Minoru",1B,14,0.981,147,7,3,9,,03703872
1937 Fall,Regular Season,Hankyu Club,2,"Yamashita, Minoru",OF,18,0.929,25,1,2,1,,03703872
1937 Spring,Regular Season,Hankyu Club,2,"Yamashita, Minoru",1B,23,0.981,202,3,4,15,,03703872
1937 Spring,Regular Season,Hankyu Club,2,"Yamashita, Minoru",OF,2,1.000,14,1,0,1,,03703872
1937 Fall,Regular Season,Lion Baseball Club,1,"Kondo, Hisashi",P,21,0.960,1,23,1,3,,11013872
1937 Spring,Regular Season,Dai Tokyo,1,"Kondo, Hisashi",P,28,0.927,3,35,3,2,,11013872
1937 Fall,Regular Season,Nagoya Club,0,"Nishizawa, Michio",P,4,1.000,0,2,0,0,,11013874
1937 Fall,Regular Season,Hankyu Club,8,"Shimamoto, Yoshifumi",C,30,0.953,107,16,6,4,0,11213872
1937 Spring,Regular Season,Hankyu Club,8,"Shimamoto, Yoshifumi",C,28,0.973,96,13,3,1,2,11213872
1937 Fall,Regular Season,Lion Baseball Club,2,"Fujinami, Mitsuo",3B,14,0.844,9,18,5,1,,11213874
1937 Fall,Regular Season,Lion Baseball Club,2,"Fujinami, Mitsuo",C,33,0.955,126,21,7,1,6,11213874
1937 Spring,Regular Season,Dai Tokyo,2,"Fujinami, Mitsuo",C,55,0.956,213,67,13,9,13,11213874
1937 Fall,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",1B,24,0.981,201,6,4,20,,11313872
1937 Fall,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",OF,20,1.000,34,4,0,1,,11313872
1937 Spring,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",1B,2,1.000,10,0,0,0,,11313872
1937 Spring,Regular Season,Tokyo Senators,20,"Iemura, Sotaro",OF,37,0.986,64,6,1,1,,11313872
1937 Spring,Regular Season,Osaka Tigers,5,"Iwasaki, Toshio",C,3,0.833,9,1,2,0,1,11313874
1937 Fall,Regular Season,Tokyo Senators,22,"Takeda, Isamu",OF,14,1.000,7,1,0,0,,11413872
1937 Spring,Regular Season,Tokyo Senators,22,"Takeda, Isamu",OF,11,1.000,12,0,0,0,,11413872
1937 Fall,Regular Season,Osaka Tigers,29,"Minagawa, Sadayuki",3B,1,1.000,0,1,0,0,,11413874
1937 Fall,Regular Season,Osaka Tigers,29,"Minagawa, Sadayuki",SS,9,0.963,10,16,1,3,,11413874
