Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2020,Regular Season,Chiba Lotte Marines,47,"Tanaka, Yasuhiro",P,8,1.000,0,1,0,0,,01005112
2020,Japan Series,Yomiuri Giants,5,"Nakajima, Hiroyuki",1B,4,1.000,37,2,0,0,,01005113
2020,Regular Season,Yomiuri Giants,5,"Nakajima, Hiroyuki",1B,88,0.995,589,29,3,47,,01005113
2020,Regular Season,Tokyo Yakult Swallows,41,"Takai, Yuhei",OF,30,0.981,52,1,1,0,,01005117
2020,Regular Season,Hokkaido Nippon-Ham Fighters,91,"Takahama, Yuto",1B,8,1.000,43,0,0,2,,01005130
2020,Regular Season,Hokkaido Nippon-Ham Fighters,91,"Takahama, Yuto",2B,3,1.000,3,6,0,1,,01005130
2020,Regular Season,Hanshin Tigers,9,"Takayama, Shun",OF,17,1.000,13,0,0,0,,01005132
2020,Climax Series - Final Stage,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,1,1.000,0,2,0,0,,01005133
2020,Japan Series,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,1,1.000,0,1,0,0,,01005133
2020,Regular Season,Fukuoka Softbank Hawks,41,"Senga, Koudai",P,18,1.000,2,18,0,2,,01005133
2020,Regular Season,Fukuoka Softbank Hawks,18,"Takeda, Shota",P,7,1.000,1,6,0,0,,01005135
2020,Climax Series - Final Stage,Fukuoka Softbank Hawks,28,"Takahashi, Rei",P,1,0.000,0,0,0,0,,01005136
2020,Japan Series,Fukuoka Softbank Hawks,28,"Takahashi, Rei",P,2,0.000,0,0,0,0,,01005136
2020,Regular Season,Fukuoka Softbank Hawks,28,"Takahashi, Rei",P,52,1.000,6,13,0,0,,01005136
2020,Climax Series - Final Stage,Fukuoka Softbank Hawks,16,"Higashihama, Nao",P,1,1.000,0,2,0,0,,01005137
2020,Regular Season,Fukuoka Softbank Hawks,16,"Higashihama, Nao",P,19,1.000,8,21,0,2,,01005137
2020,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",1B,5,1.000,6,0,0,1,,01105131
2020,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",2B,7,1.000,4,3,0,0,,01105131
2020,Regular Season,Tokyo Yakult Swallows,10,"Araki, Takahiro",OF,8,0.923,12,0,1,0,,01105131
2020,Japan Series,Yomiuri Giants,36,"Ishikawa, Shingo",OF,1,0.000,0,0,0,0,,01105135
2020,Regular Season,Yomiuri Giants,36,"Ishikawa, Shingo",OF,18,1.000,6,1,0,0,,01105135
2020,Regular Season,Hanshin Tigers,93,"Ishii, Masaki",P,1,0.000,0,0,0,0,,01105136
2020,Regular Season,Orix Buffaloes,39,"Iida, Yuya",P,4,1.000,1,1,0,0,,01105137
2020,Regular Season,Fukuoka Softbank Hawks,53,"Izumi, Keisuke",P,40,1.000,0,6,0,0,,01105138
2020,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",1B,7,1.000,22,2,0,0,,01205114
2020,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",2B,5,1.000,5,5,0,1,,01205114
2020,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",3B,2,0.800,1,3,1,0,,01205114
2020,Regular Season,Chunichi Dragons,63,"Donoue, Naomichi",SS,3,0.750,1,2,1,2,,01205114
2020,Regular Season,Saitama Seibu Lions,65,"Togawa, Daisuke",OF,2,1.000,2,1,0,0,,01205130
2020,Regular Season,Saitama Seibu Lions,40,"Tamura, Ichiro",P,31,1.000,4,6,0,0,,01205134
2020,Regular Season,Chiba Lotte Marines,28,"Matsunaga, Takahiro",P,5,0.000,0,0,0,0,,01205137
2020,Regular Season,Chiba Lotte Marines,48,"Nakamura, Toshiya",P,16,1.000,1,13,0,0,,01205138
2020,Regular Season,Hanshin Tigers,00,"Uemoto, Hiroki",2B,15,1.000,15,24,0,5,,01305118
2020,Regular Season,Hanshin Tigers,62,"Ueda, Kai",2B,57,0.972,60,80,4,10,,01305130
2020,Regular Season,Hanshin Tigers,62,"Ueda, Kai",OF,12,0.857,6,0,1,0,,01305130
2020,Regular Season,Chunichi Dragons,8,"Ohshima, Yohei",OF,118,0.990,202,5,2,2,,01305131
2020,Regular Season,Yokohama DeNA Baystars,21,"Imanaga, Shota",P,9,0.875,5,9,2,1,,01305132
2020,Regular Season,Saitama Seibu Lions,30,"Enokida, Daiki",P,5,1.000,1,3,0,1,,01305133
2020,Regular Season,Tokyo Yakult Swallows,15,"Ohshita, Yuma",P,13,1.000,3,0,0,0,,01305136
2020,Regular Season,Yokohama DeNA Baystars,16,"Ohnuki, Shinichi",P,19,1.000,7,22,0,1,,01305138
2020,Regular Season,Tohoku Rakuten Golden Eagles,36,"Uchida, Yasuhito",1B,31,0.990,180,16,2,13,,01305139
2020,Regular Season,Tohoku Rakuten Golden Eagles,36,"Uchida, Yasuhito",OF,3,1.000,2,0,0,0,,01305139
2020,Regular Season,Hiroshima Toyo Carp,55,"Matsuyama, Ryuhei",1B,102,0.990,806,54,9,65,,01405116
2020,Regular Season,Hiroshima Toyo Carp,37,"Noma, Takayoshi",OF,54,1.000,33,2,0,0,,01405130
2020,Regular Season,Saitama Seibu Lions,50,"Nakatsuka, Shunta",P,6,1.000,0,2,0,0,,01405134
2020,Regular Season,Orix Buffaloes,25,"Nishimura, Ryo",OF,23,1.000,34,1,0,0,,01405136
2020,Regular Season,Hiroshima Toyo Carp,44,"Hayashi, Kouta",1B,2,0.800,4,0,1,1,,01405138
2020,Regular Season,Hiroshima Toyo Carp,44,"Hayashi, Kouta",3B,1,1.000,1,1,0,0,,01405138
2020,Climax Series - Final Stage,Fukuoka Softbank Hawks,38,"Mori, Yuito",P,2,1.000,0,1,0,0,,01405139
2020,Japan Series,Fukuoka Softbank Hawks,38,"Mori, Yuito",P,3,1.000,0,1,0,0,,01405139
2020,Regular Season,Fukuoka Softbank Hawks,38,"Mori, Yuito",P,52,1.000,3,7,0,1,,01405139
2020,Regular Season,Chiba Lotte Marines,64,"Ohmine, Yuta",P,2,1.000,1,1,0,0,,01505114
2020,Regular Season,Tohoku Rakuten Golden Eagles,58,"Karashima, Wataru",P,19,0.917,3,8,1,0,,01505118
