Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
1990,Regular Season,Yokohama Taiyo Whales,46,"Miyashita, Shiro",OF,3,1.000,3,1,0,0,,01003864
1990,Regular Season,Orix Braves,34,"Mori, Koji",P,2,1.000,0,1,0,0,,01003865
1990,Regular Season,Seibu Lions,22,"Omiya, Tatsuo",C,32,0.977,123,6,3,0,1,01103844
1990,Regular Season,Yomiuri Giants,52,"Inoe, Shinji",3B,1,0.000,0,0,0,0,,01103860
1990,Regular Season,Yomiuri Giants,52,"Inoe, Shinji",OF,41,1.000,38,1,0,0,,01103860
1990,Regular Season,Lotte Orions,27,"Ushijima, Kazuhiko",P,3,1.000,0,2,0,0,,01103861
1990,Regular Season,Lotte Orions,62,"Ito, Fumio",1B,6,1.000,22,0,0,3,,01103862
1990,Regular Season,Lotte Orions,62,"Ito, Fumio",OF,3,0.750,3,0,1,0,,01103862
1990,Regular Season,Fukuoka Daiei Hawks,12,"Inoe, Yuji",P,29,1.000,1,24,0,1,,01103863
1990,Regular Season,Hanshin Tigers,25,"Inomata, Takashi",P,23,0.905,8,30,4,1,,01103864
1990,Regular Season,Chunichi Dragons,46,"Takashima, Satoru",P,1,1.000,1,1,0,1,,01103866
1990,Regular Season,Fukuoka Daiei Hawks,15,"Takashima, Satoru",P,21,1.000,5,15,0,2,,01103866
1990,Regular Season,Nippon-Ham Fighters,24,"Arikura, Masashi",P,16,1.000,4,10,0,0,,01103881
1990,Regular Season,Fukuoka Daiei Hawks,5,"Fujimoto, Hiroshi",1B,45,0.996,251,18,1,12,,01203860
1990,Regular Season,Fukuoka Daiei Hawks,5,"Fujimoto, Hiroshi",3B,76,0.954,34,133,8,14,,01203860
1990,Regular Season,Kintetsu Buffaloes,44,"Mitsuyama, Hidekazu",C,71,0.990,376,41,4,6,2,01203862
1990,Regular Season,Fukuoka Daiei Hawks,14,"Wakai, Motoyasu",1B,47,0.992,325,32,3,29,,01203866
1990,Regular Season,Fukuoka Daiei Hawks,14,"Wakai, Motoyasu",OF,10,1.000,11,0,0,0,,01203866
1990,Regular Season,Seibu Lions,48,"Maeda, Koji",P,17,1.000,5,11,0,1,,01203869
1990,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",P,24,0.953,12,29,2,5,,01303844
1990,Regular Season,Chunichi Dragons,23,"Kawamata, Yonetoshi",OF,51,0.984,56,6,1,2,,01303848
1990,Regular Season,Lotte Orions,41,"Kasahara, Eiichi",P,2,1.000,0,1,0,0,,01303862
1990,Regular Season,Kintetsu Buffaloes,4,"Oishi, Daijiro",2B,120,0.974,284,322,16,62,,01303863
1990,Regular Season,Hiroshima Toyo Carp,11,"Kito, Makoto",P,36,1.000,2,7,0,1,,01303864
1990,Regular Season,Hanshin Tigers,5,"Kanamori, Eiji",1B,15,1.000,70,4,0,6,,01303865
1990,Regular Season,Hanshin Tigers,5,"Kanamori, Eiji",OF,21,1.000,20,0,0,0,,01303865
1990,Regular Season,Chunichi Dragons,22,"Yamasaki, Takeshi",1B,1,1.000,8,0,0,1,,01303868
1990,Regular Season,Chunichi Dragons,18,"Kashima, Tadashi",P,45,0.958,5,18,1,1,,01303869
1990,Regular Season,Seibu Lions,23,"Otsuka, Koji",OF,12,1.000,5,0,0,0,,01303881
1990,Regular Season,Chunichi Dragons,34,"Yamamoto, Masahiro",P,26,1.000,5,36,0,3,,01403862
1990,Regular Season,Seibu Lions,14,"Muraoka, Koichi",2B,8,0.929,6,7,1,1,,01403867
1990,Regular Season,Seibu Lions,14,"Muraoka, Koichi",3B,22,0.929,6,7,1,1,,01403867
1990,Regular Season,Seibu Lions,14,"Muraoka, Koichi",SS,19,0.977,10,32,1,4,,01403867
1990,Regular Season,Nippon-Ham Fighters,34,"Komatsuzaki, Yoshihisa",1B,3,1.000,9,0,0,0,,01503860
1990,Regular Season,Nippon-Ham Fighters,34,"Komatsuzaki, Yoshihisa",OF,17,1.000,21,0,0,0,,01503860
1990,Regular Season,Yokohama Taiyo Whales,21,"Nomura, Hiroki",P,24,0.968,8,22,1,0,,01503866
1990,Regular Season,Seibu Lions,44,"Kurohara, Yuji",P,2,1.000,0,1,0,1,,01503867
1990,Regular Season,Hiroshima Toyo Carp,6,"Kobayakawa, Takehiko",1B,94,0.995,798,59,4,60,,01503869
1990,Regular Season,Hiroshima Toyo Carp,6,"Kobayakawa, Takehiko",3B,2,0.600,2,1,2,0,,01503869
1990,Regular Season,Chunichi Dragons,19,"Yonemura, Akira",P,14,0.800,3,1,1,0,,01603860
1990,Regular Season,Seibu Lions,19,"Takahashi, Kazuhiko",P,13,1.000,1,4,0,0,,01703862
1990,Regular Season,Hiroshima Toyo Carp,12,"Takagi, Nobuhiro",P,26,0.900,2,16,2,1,,01703865
1990,Regular Season,Lotte Orions,48,"Takahashi, Chuichi",OF,22,0.882,14,1,2,0,,01703869
1990,Regular Season,Chunichi Dragons,32,"Yamada, Kikuo",P,17,1.000,5,6,0,1,,01803881
1990,Regular Season,Hanshin Tigers,0,"Nakano, Satoru",OF,83,0.963,76,2,3,1,,01903862
1990,Regular Season,Yomiuri Giants,22,"Nakao, Takayoshi",C,55,0.996,271,11,1,2,2,01903863
1990,Regular Season,Yomiuri Giants,28,"Hirota, Hiroaki",P,15,1.000,2,2,0,0,,01903864
1990,Regular Season,Orix Braves,16,"Ito, Atsunori",P,31,0.964,7,20,1,0,,01903866
1990,Regular Season,Nippon-Ham Fighters,7,"Nakajima, Terushi",1B,71,0.992,320,31,3,24,,01903868
1990,Regular Season,Nippon-Ham Fighters,7,"Nakajima, Terushi",3B,34,0.897,19,42,7,4,,01903868
1990,Regular Season,Nippon-Ham Fighters,7,"Nakajima, Terushi",OF,39,0.982,51,5,1,2,,01903868
1990,Regular Season,Yakult Swallows,7,"Murphy, Dwayne",OF,34,0.986,68,0,1,0,,03103881
1990,Regular Season,Fukuoka Daiei Hawks,00,"Wilson, Jim",1B,1,1.000,3,2,0,2,,03303881
1990,Regular Season,Hiroshima Toyo Carp,49,"Allen, Rod",OF,89,0.992,118,5,1,1,,03403868
1990,Regular Season,Hanshin Tigers,33,"Kaneko, Seiichi",OF,74,0.972,68,1,2,1,,03503868
1990,Regular Season,Lotte Orions,65,"Yashima, Shoji",P,8,1.000,1,1,0,0,,03603868
1990,Regular Season,Fukuoka Daiei Hawks,49,"Yoshinaga, Koichiro",C,17,1.000,60,6,0,0,0,03703868
1990,Regular Season,Yakult Swallows,13,"Kato, Hiroto",P,35,1.000,4,32,0,5,,05003868
1990,Regular Season,Seibu Lions,57,"Ueda, Hiroaki",3B,1,0.000,0,0,0,0,,05303868
1990,Regular Season,Kintetsu Buffaloes,46,"Omura, Shinji",1B,1,1.000,9,0,0,2,,05603868
1990,Regular Season,Kintetsu Buffaloes,46,"Omura, Shinji",OF,1,0.000,0,0,0,0,,05603868
1990,Regular Season,Orix Braves,59,"Kohama, Yuichi",P,4,1.000,0,3,0,0,,05803868
1990,Regular Season,Seibu Lions,39,"Destrade, Orestes",1B,10,0.988,79,5,1,8,,07303868
1990,Regular Season,Yomiuri Giants,15,"Yamakura, Kazuhiro",C,43,0.991,215,18,2,2,2,11013846
1990,Regular Season,Hanshin Tigers,7,"Mayumi, Akinobu",3B,1,1.000,0,1,0,0,,11013847
1990,Regular Season,Hanshin Tigers,7,"Mayumi, Akinobu",OF,69,0.983,113,5,2,1,,11013847
1990,Regular Season,Fukuoka Daiei Hawks,35,"Yoshida, Hiroyuki",C,29,0.993,128,11,1,3,2,11013848
1990,Regular Season,Fukuoka Daiei Hawks,21,"Nishikawa, Yoshiaki",P,5,1.000,0,7,0,0,,11013862
1990,Regular Season,Orix Braves,58,"Yamanaka, Kenji",1B,2,1.000,8,1,0,1,,11013866
1990,Regular Season,Orix Braves,58,"Yamanaka, Kenji",2B,1,0.000,0,0,0,0,,11013866
1990,Regular Season,Yokohama Taiyo Whales,37,"Hino, Yoshiaki",2B,3,1.000,0,2,0,1,,11213860
1990,Regular Season,Yokohama Taiyo Whales,37,"Hino, Yoshiaki",3B,3,1.000,1,0,0,0,,11213860
1990,Regular Season,Yokohama Taiyo Whales,37,"Hino, Yoshiaki",OF,1,1.000,1,0,0,0,,11213860
1990,Regular Season,Yokohama Taiyo Whales,37,"Hino, Yoshiaki",SS,10,1.000,6,16,0,3,,11213860
1990,Regular Season,Lotte Orions,10,"Furukawa, Shinichi",OF,35,1.000,38,2,0,0,,11213862
