Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
1969,Regular Season,Atoms,25,"Takakura, Teruyuki",OF,46,0.932,40,1,3,0,,01003807
1969,Regular Season,Chunichi Dragons,9,"Hishikawa, Akira",OF,36,0.978,43,2,1,0,,01003820
1969,Regular Season,Kintetsu Buffaloes,17,"Bando, Satomi",P,34,1.000,3,19,0,2,,01003821
1969,Regular Season,Nankai Hawks,1,"Blasingame, Don",2B,98,0.975,228,275,13,64,,01003824
1969,Regular Season,Kintetsu Buffaloes,43,"Miura, Masaki",1B,1,0.000,0,0,0,0,,01003828
1969,Regular Season,Nishitetsu Lions,13,"Nagayasu, Masayuki",P,32,1.000,5,15,0,4,,01003829
1969,Regular Season,Hiroshima Toyo Carp,37,"Inoe, Osamu",2B,5,1.000,1,3,0,0,,01103820
1969,Regular Season,Hiroshima Toyo Carp,81,"Inoe, Yoshio",P,7,1.000,1,0,0,0,,01103821
1969,Regular Season,Lotte Orions,26,"Otsuka, Yasuo",C,31,1.000,51,9,0,0,1,01103822
1969,Regular Season,Taiyo Whales,5,"Ito, Isao",1B,9,0.934,56,1,4,2,,01103823
1969,Regular Season,Taiyo Whales,5,"Ito, Isao",C,120,0.993,775,47,6,9,8,01103823
1969,Regular Season,Nishitetsu Lions,9,"Aratake, Yasuhiro",1B,2,1.000,3,2,0,1,,01103824
1969,Regular Season,Taiyo Whales,38,"Inoe, Yukinobu",OF,1,0.000,0,0,0,0,,01103828
1969,Regular Season,Nankai Hawks,35,"Motoda, Masayoshi",1B,1,1.000,2,0,0,0,,01203824
1969,Regular Season,Yomiuri Giants,29,"Yoshimura, Mareo",P,5,1.000,1,3,0,0,,01203828
1969,Regular Season,Nishitetsu Lions,31,"Hirai, Seiichi",1B,1,0.000,0,0,0,0,,01203829
1969,Regular Season,Nishitetsu Lions,31,"Hirai, Seiichi",3B,28,0.953,16,45,3,6,,01203829
1969,Regular Season,Nishitetsu Lions,31,"Hirai, Seiichi",OF,1,0.000,0,0,0,0,,01203829
1969,Regular Season,Lotte Orions,3,"Enomoto, Kihachi",1B,119,0.996,957,66,4,84,,01303800
1969,Regular Season,Taiyo Whales,44,"Oikawa, Nobuji",1B,3,0.000,0,0,0,0,,01303820
1969,Regular Season,Taiyo Whales,44,"Oikawa, Nobuji",OF,1,0.000,0,0,0,0,,01303820
1969,Regular Season,Taiyo Whales,44,"Oikawa, Nobuji",P,22,1.000,4,9,0,0,,01303820
