Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2011,Regular Season,Tohoku Rakuten Golden Eagles,44,"Nakatani, Jin",C,11,0.987,73,3,1,0,0,01003886
2011,Climax Series - Final Stage,Saitama Seibu Lions,3,"Nakajima, Hiroyuki",SS,3,1.000,6,12,0,4,,01005113
2011,Climax Series - First Stage,Saitama Seibu Lions,3,"Nakajima, Hiroyuki",SS,2,0.923,3,9,1,1,,01005113
2011,Regular Season,Saitama Seibu Lions,3,"Nakajima, Hiroyuki",SS,144,0.985,222,444,10,99,,01005113
2011,Regular Season,Yokohama BayStars,22,"Takasaki, Kentaro",P,29,1.000,8,32,0,0,,01005114
2011,Regular Season,Tokyo Yakult Swallows,61,"Ishii, Hirotoshi",P,1,0.000,0,0,0,0,,01103882
2011,Regular Season,Hanshin Tigers,25,"Arai, Takahiro",1B,29,0.992,119,7,1,9,,01103888
2011,Regular Season,Hanshin Tigers,25,"Arai, Takahiro",3B,138,0.946,84,215,17,14,,01103888
2011,Regular Season,Tohoku Rakuten Golden Eagles,21,"Iwakuma, Hisashi",P,17,0.955,4,17,1,0,,01105111
2011,Regular Season,Hanshin Tigers,32,"Arai, Ryota",1B,27,0.977,43,0,1,1,,01105112
2011,Regular Season,Hanshin Tigers,32,"Arai, Ryota",OF,4,1.000,2,0,0,0,,01105112
2011,Regular Season,Hiroshima Toyo Carp,49,"Amaya, Soichiro",OF,76,1.000,83,3,0,2,,01105115
2011,Regular Season,Tohoku Rakuten Golden Eagles,13,"Isaka, Ryohei",P,15,1.000,5,12,0,1,,01105118
2011,Regular Season,Yokohama BayStars,00,"Inada, Naoto",1B,32,1.000,45,4,0,3,,01105119
2011,Regular Season,Tokyo Yakult Swallows,24,"Araki, Takahiro",3B,2,1.000,0,1,0,0,,01105131
2011,Regular Season,Tokyo Yakult Swallows,24,"Araki, Takahiro",SS,1,0.857,3,3,1,3,,01105131
2011,Regular Season,Yokohama BayStars,4,"Aranami, Sho",OF,26,1.000,47,0,0,0,,01105133
2011,Regular Season,Fukuoka Softbank Hawks,63,"Fujita, Soichi",P,19,1.000,0,5,0,1,,01203886
2011,Regular Season,Chiba Lotte Marines,65,"Minami, Ryusuke",OF,19,0.967,29,0,1,0,,01205111
2011,Regular Season,Chiba Lotte Marines,32,"Nemoto, Shunichi",2B,4,0.947,8,10,1,0,,01205112
2011,Regular Season,Chiba Lotte Marines,32,"Nemoto, Shunichi",3B,7,0.952,4,16,1,2,,01205112
2011,Regular Season,Chiba Lotte Marines,32,"Nemoto, Shunichi",SS,42,0.965,44,94,5,14,,01205112
2011,Regular Season,Saitama Seibu Lions,45,"Fujita, Taiyo",P,14,1.000,0,3,0,0,,01205113
2011,Climax Series - Final Stage,Chunichi Dragons,1,"Donoue, Naomichi",3B,1,1.000,0,1,0,0,,01205114
2011,Japan Series,Chunichi Dragons,1,"Donoue, Naomichi",3B,1,0.000,0,0,0,0,,01205114
2011,Regular Season,Chunichi Dragons,1,"Donoue, Naomichi",2B,35,1.000,101,86,0,19,,01205114
2011,Regular Season,Chunichi Dragons,1,"Donoue, Naomichi",3B,32,0.875,1,13,2,1,,01205114
2011,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,19,"Hayashi, Masanori",P,1,0.000,0,0,0,0,,01205115
2011,Regular Season,Hokkaido Nippon-Ham Fighters,19,"Hayashi, Masanori",P,5,1.000,1,0,0,0,,01205115
2011,Regular Season,Tohoku Rakuten Golden Eagles,20,"Hasebe, Kohei",P,7,1.000,2,6,0,0,,01205116
2011,Regular Season,Hiroshima Toyo Carp,20,"Nagakawa, Katsuhiro",P,19,1.000,1,4,0,0,,01205117
2011,Regular Season,Orix Buffaloes,14,"Furukawa, Shuichi",P,12,0.667,1,1,1,0,,01205131
2011,Regular Season,Tohoku Rakuten Golden Eagles,7,"Yamasaki, Takeshi",1B,32,0.991,203,9,2,14,,01303868
2011,Regular Season,Saitama Seibu Lions,7,"Kataoka, Yasuyuki",2B,86,0.991,161,278,4,55,,01305110
2011,Regular Season,Hiroshima Toyo Carp,19,"Ueno, Hirofumi",P,31,1.000,3,6,0,0,,01305114
2011,Regular Season,Chiba Lotte Marines,8,"Imae, Toshiaki",3B,127,0.980,91,200,6,9,,01305115
2011,Regular Season,Yokohama BayStars,58,"Ota, Atori",P,3,1.000,0,2,0,0,,01305116
2011,Regular Season,Saitama Seibu Lions,14,"Egusa, Hirotaka",P,12,0.000,0,0,0,0,,01305117
2011,Regular Season,Hanshin Tigers,4,"Uemoto, Hiroki",2B,33,0.957,37,51,4,11,,01305118
2011,Regular Season,Hanshin Tigers,4,"Uemoto, Hiroki",SS,9,1.000,9,25,0,2,,01305118
2011,Regular Season,Orix Buffaloes,17,"Katsuki, Ryota",P,46,1.000,0,8,0,0,,01305119
2011,Climax Series - Final Stage,Chunichi Dragons,8,"Ohshima, Yohei",OF,5,1.000,8,0,0,0,,01305131
2011,Japan Series,Chunichi Dragons,8,"Ohshima, Yohei",OF,5,1.000,8,0,0,0,,01305131
2011,Regular Season,Chunichi Dragons,8,"Ohshima, Yohei",OF,95,0.990,196,6,2,1,,01305131
2011,Regular Season,Hanshin Tigers,13,"Enokida, Daiki",P,62,1.000,4,10,0,2,,01305133
2011,Regular Season,Orix Buffaloes,48,"Yoshino, Makoto",P,50,1.000,1,9,0,1,,01405111
2011,Regular Season,Hiroshima Toyo Carp,37,"Matsuyama, Ryuhei",OF,50,0.985,67,0,1,0,,01405116
2011,Regular Season,Tokyo Yakult Swallows,66,"Fernandes, Rafael",P,1,0.000,0,0,0,0,,01405118
2011,Climax Series - Final Stage,Chunichi Dragons,24,"Kuramoto, Hidenori",OF,2,0.000,0,0,0,0,,01503888
2011,Japan Series,Chunichi Dragons,24,"Kuramoto, Hidenori",OF,2,1.000,1,0,0,0,,01503888
2011,Regular Season,Chunichi Dragons,24,"Kuramoto, Hidenori",OF,50,1.000,20,0,0,0,,01503888
2011,Regular Season,Chiba Lotte Marines,11,"Ohmine, Yuta",P,1,1.000,0,1,0,0,,01505114
2011,Regular Season,Tokyo Yakult Swallows,16,"Kato, Mikinori",P,6,1.000,2,2,0,0,,01505116
2011,Regular Season,Yokohama BayStars,21,"Kagami, Kisho",P,1,1.000,0,2,0,0,,01505133
2011,Climax Series - Final Stage,Saitama Seibu Lions,23,"Ming-Chieh, Hsu",P,2,0.000,0,0,0,0,,01605111
2011,Climax Series - First Stage,Saitama Seibu Lions,23,"Ming-Chieh, Hsu",P,1,1.000,1,0,0,0,,01605111
2011,Regular Season,Saitama Seibu Lions,23,"Ming-Chieh, Hsu",P,49,0.952,3,17,1,0,,01605111
2011,Regular Season,Yomiuri Giants,32,"Matsumoto, Tetsuya",OF,11,1.000,5,0,0,0,,01605114
2011,Regular Season,Orix Buffaloes,67,"Yokoyama, Tetsuya",C,5,1.000,28,1,0,0,0,01605117
2011,Regular Season,Tohoku Rakuten Golden Eagles,98,"Morita, Jobu",1B,2,1.000,4,0,0,1,,01605118
2011,Regular Season,Chiba Lotte Marines,25,"Castillo, Jose",1B,86,0.988,726,39,9,39,,01605131
2011,Regular Season,Tohoku Rakuten Golden Eagles,31,"Mima, Manabu",P,23,1.000,4,5,0,0,,01605133
2011,Regular Season,Fukuoka Softbank Hawks,4,"Shimizu, Masaumi",C,3,1.000,4,1,0,0,0,01703884
2011,Regular Season,Tohoku Rakuten Golden Eagles,12,"Kusano, Daisuke",1B,44,0.992,222,19,2,11,,01705112
2011,Regular Season,Tohoku Rakuten Golden Eagles,12,"Kusano, Daisuke",3B,40,0.958,22,47,3,2,,01705112
2011,Regular Season,Tohoku Rakuten Golden Eagles,12,"Kusano, Daisuke",OF,13,1.000,17,0,0,0,,01705112
2011,Regular Season,Yokohama BayStars,43,"Kita, Atsushi",OF,9,1.000,14,0,0,0,,01705114
2011,Regular Season,Yokohama BayStars,14,"Kobayashi, Futoshi",P,17,1.000,3,12,0,0,,01705116
2011,Regular Season,Hiroshima Toyo Carp,66,"Kimura, Shogo",2B,1,1.000,1,0,0,0,,01705117
2011,Regular Season,Hiroshima Toyo Carp,66,"Kimura, Shogo",3B,13,1.000,3,2,0,1,,01705117
2011,Regular Season,Hiroshima Toyo Carp,66,"Kimura, Shogo",OF,3,1.000,4,0,0,0,,01705117
2011,Regular Season,Hiroshima Toyo Carp,66,"Kimura, Shogo",SS,86,0.977,134,241,9,34,,01705117
2011,Climax Series - First Stage,Saitama Seibu Lions,31,"Sakata, Ryo",OF,1,1.000,2,0,0,0,,01705118
2011,Regular Season,Saitama Seibu Lions,31,"Sakata, Ryo",OF,58,0.967,87,1,3,0,,01705118
2011,Regular Season,Yokohama BayStars,9,"Shimamura, Ikki",1B,5,1.000,29,2,0,3,,01705119
2011,Regular Season,Yokohama BayStars,9,"Shimamura, Ikki",OF,6,1.000,1,0,0,0,,01705119
2011,Regular Season,Yokohama BayStars,65,"Kuniyoshi, Yuki",P,8,0.875,2,5,1,0,,01705131
2011,Regular Season,Tokyo Yakult Swallows,26,"Kyuko, Kentaro",P,52,1.000,4,11,0,0,,01705133
2011,Regular Season,Tohoku Rakuten Golden Eagles,25,"Yokogawa, Fuminori",1B,11,1.000,78,3,0,4,,01805114
2011,Regular Season,Tohoku Rakuten Golden Eagles,25,"Yokogawa, Fuminori",OF,74,0.990,98,0,1,0,,01805114
2011,Regular Season,Orix Buffaloes,33,"Taguchi, So",OF,46,1.000,74,2,0,0,,01903885
2011,Regular Season,Tohoku Rakuten Golden Eagles,37,"Shima, Motohiro",C,126,0.988,809,74,11,9,7,01905114
2011,Regular Season,Hokkaido Nippon-Ham Fighters,57,"Sekiguchi, Yuta",OF,2,1.000,2,0,0,0,,01905116
2011,Regular Season,Chunichi Dragons,63,"Donoe, Takehiro",OF,26,1.000,30,2,0,1,,01905119
2011,Regular Season,Hokkaido Nippon-Ham Fighters,18,"Saitoh, Yuki",P,19,1.000,5,23,0,2,,01905133
2011,Climax Series - Final Stage,Saitama Seibu Lions,54,"Graman, Alex",P,1,0.000,0,0,0,0,,03105112
2011,Climax Series - First Stage,Saitama Seibu Lions,54,"Graman, Alex",P,1,0.000,0,0,0,0,,03105112
2011,Regular Season,Saitama Seibu Lions,54,"Graman, Alex",P,29,1.000,1,4,0,0,,03105112
2011,Regular Season,Yomiuri Giants,29,"Greisinger, Seth",P,9,1.000,1,13,0,0,,03105114
2011,Climax Series - Final Stage,Fukuoka Softbank Hawks,25,"Falkenborg, Brian",P,1,1.000,0,1,0,0,,03105118
2011,Japan Series,Fukuoka Softbank Hawks,25,"Falkenborg, Brian",P,5,0.000,0,0,0,0,,03105118
2011,Regular Season,Fukuoka Softbank Hawks,25,"Falkenborg, Brian",P,53,1.000,2,8,0,1,,03105118
2011,Regular Season,Yomiuri Giants,42,"Torres, Carlos",P,6,1.000,2,6,0,0,,03105133
2011,Regular Season,Saitama Seibu Lions,52,"Fernandez, Jose",1B,42,0.993,368,31,3,36,,03305117
2011,Regular Season,Orix Buffaloes,91,"Caraballo, Francisco",OF,2,1.000,1,0,0,0,,03305131
2011,Regular Season,Yokohama BayStars,52,"Mann, Brandon",P,12,1.000,0,2,0,0,,03305133
2011,Regular Season,Hiroshima Toyo Carp,99,"Soriano, Dioni",P,8,0.857,1,5,1,0,,03505118
2011,Regular Season,Chunichi Dragons,70,"Soto, Enyelbert",P,22,0.944,1,16,1,1,,03505133
2011,Regular Season,Hokkaido Nippon-Ham Fighters,2,"Scales, Bobby",1B,1,1.000,10,2,0,0,,03705133
2011,Regular Season,Hokkaido Nippon-Ham Fighters,2,"Scales, Bobby",2B,66,0.981,152,165,6,33,,03705133
2011,Regular Season,Tokyo Yakult Swallows,0,"Hamanaka, Osamu",OF,5,1.000,5,1,0,0,,11013884
2011,Regular Season,Orix Buffaloes,40,"Takamiya, Kazuya",P,20,0.875,2,5,1,0,,11015112
2011,Regular Season,Orix Buffaloes,37,"Tsuji, Toshiya",1B,1,1.000,6,0,0,0,,11015115
2011,Regular Season,Orix Buffaloes,37,"Tsuji, Toshiya",C,7,1.000,26,4,0,1,0,11015115
2011,Regular Season,Yokohama BayStars,46,"Tanaka, Kenjiro",P,1,1.000,0,1,0,0,,11015116
2011,Regular Season,Chiba Lotte Marines,17,"Naruse, Yoshihisa",P,26,0.951,6,33,2,1,,11015119
2011,Regular Season,Tohoku Rakuten Golden Eagles,11,"Shiomi, Takahiro",P,24,1.000,7,29,0,1,,11015133
2011,Regular Season,Hiroshima Toyo Carp,23,"Yokoyama, Ryuji",P,2,0.000,0,0,0,0,,11213880
2011,Regular Season,Hiroshima Toyo Carp,53,"Hayashi, Masaki",P,2,0.000,0,0,0,0,,11213886
2011,Regular Season,Tohoku Rakuten Golden Eagles,18,"Tanaka, Masahiro",P,27,0.967,16,43,2,2,,11215114
2011,Regular Season,Orix Buffaloes,53,"Nonaka, Shingo",OF,1,1.000,1,0,0,0,,11215115
2011,Regular Season,Fukuoka Softbank Hawks,60,"Nakamura, Akira",1B,9,1.000,15,1,0,2,,11215116
2011,Regular Season,Fukuoka Softbank Hawks,60,"Nakamura, Akira",OF,15,1.000,32,1,0,1,,11215116
2011,Regular Season,Hokkaido Nippon-Ham Fighters,56,"Nakashima, Takuya",2B,2,1.000,0,2,0,0,,11215118
2011,Regular Season,Hokkaido Nippon-Ham Fighters,56,"Nakashima, Takuya",SS,1,0.000,0,0,0,0,,11215118
2011,Climax Series - Final Stage,Fukuoka Softbank Hawks,14,"Mahara, Takahiro",P,3,1.000,0,1,0,0,,11215119
2011,Japan Series,Fukuoka Softbank Hawks,14,"Mahara, Takahiro",P,4,1.000,0,1,0,0,,11215119
2011,Regular Season,Fukuoka Softbank Hawks,14,"Mahara, Takahiro",P,33,1.000,0,6,0,0,,11215119
2011,Regular Season,Hiroshima Toyo Carp,69,"Tsurumoto, Yuki",P,4,1.000,0,1,0,0,,11215133
2011,Regular Season,Tohoku Rakuten Golden Eagles,1,"Iwamura, Akinori",3B,69,0.930,29,78,8,3,,11313884
2011,Regular Season,Fukuoka Softbank Hawks,43,"Egawa, Tomoaki",OF,7,1.000,2,0,0,0,,11315110
2011,Regular Season,Hiroshima Toyo Carp,62,"Imai, Keisuke",P,11,1.000,2,5,0,0,,11315112
2011,Regular Season,Saitama Seibu Lions,25,"Iwasaki, Tetsuya",P,2,0.000,0,0,0,0,,11315114
2011,Climax Series - Final Stage,Tokyo Yakult Swallows,19,"Ishikawa, Masanori",P,1,1.000,1,1,0,0,,11315115
2011,Climax Series - First Stage,Tokyo Yakult Swallows,19,"Ishikawa, Masanori",P,1,0.000,0,0,0,0,,11315115
2011,Regular Season,Tokyo Yakult Swallows,19,"Ishikawa, Masanori",P,27,0.933,8,34,3,1,,11315115
2011,Regular Season,Chiba Lotte Marines,30,"Ito, Yoshihiro",P,50,0.909,3,7,1,1,,11315116
2011,Regular Season,Orix Buffaloes,26,"Ihara, Masaki",P,2,1.000,1,2,0,0,,11315118
2011,Regular Season,Yomiuri Giants,36,"Nakamura, Micheal",P,7,1.000,1,3,0,0,,11415110
2011,Regular Season,Tokyo Yakult Swallows,37,"Fukukawa, Masakazu",C,4,1.000,15,0,0,0,0,11415115
2011,Regular Season,Hanshin Tigers,94,"Nohara, Yuya",OF,2,0.000,0,0,0,0,,11415118
2011,Regular Season,Orix Buffaloes,68,"Fukae, Masato",OF,23,0.909,10,0,1,0,,11415133
2011,Regular Season,Chiba Lotte Marines,46,"Kawagoe, Hidetaka",P,18,1.000,1,3,0,0,,11513888
2011,Climax Series - Final Stage,Chunichi Dragons,17,"Kawai, Yudai",P,1,1.000,0,3,0,0,,11515110
2011,Japan Series,Chunichi Dragons,17,"Kawai, Yudai",P,1,1.000,1,0,0,0,,11515110
2011,Regular Season,Chunichi Dragons,17,"Kawai, Yudai",P,16,1.000,3,25,0,0,,11515110
2011,Japan Series,Chunichi Dragons,65,"Oyama, Keiji",C,1,1.000,3,0,0,0,0,11515112
