Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1983,Regular Season,Hankyu Braves,34,"Mori, Koji",1,0,0,,,13,24.0,1.000,6.000,1.708,7.500,1.538,12.750,1.125,3.000,2.625,1.143,114,34,20,16,3,8,7,,1,0,0,0,0,0,1,3,01003865
1983,Regular Season,Hiroshima Toyo Carp,11,"Ikegaya, Kojiro",6,2,0,,,14,60.1,0.750,4.180,1.392,4.326,2.071,10.442,1.641,3.431,2.088,1.643,257,70,29,28,11,23,14,,1,1,0,2,0,0,9,1,01103849
1983,Regular Season,Chunichi Dragons,17,"Ushijima, Kazuhiko",10,8,7,,,37,88.0,0.556,4.500,1.523,5.625,1.486,10.636,1.023,7.057,3.068,2.300,395,104,55,44,10,69,30,,1,0,0,0,0,0,9,24,01103861
1983,Regular Season,Nankai Hawks,12,"Inoe, Yuji",6,10,3,,,35,160.2,0.375,5.210,1.537,5.714,2.914,10.195,1.400,3.417,3.641,0.938,715,182,102,93,25,61,65,,2,4,0,5,1,0,15,8,01103863
1983,Regular Season,Hiroshima Toyo Carp,53,"Inoe, Takuya",0,0,0,,,1,3.0,0.000,0.000,0.667,0.000,0.000,6.000,0.000,3.000,0.000,,11,2,0,0,0,1,0,,0,0,0,0,0,0,0,1,01103867
1983,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",10,8,22,,,54,116.0,0.556,3.570,1.362,4.034,0.963,8.767,1.086,5.198,3.491,1.489,496,113,52,46,14,67,45,,2,3,1,0,0,0,0,49,01303844
1983,Regular Season,Yokohama Taiyo Whales,15,"Kadota, Fumiaki",5,8,0,,,28,121.0,0.385,5.430,1.471,5.876,2.821,9.669,1.488,3.198,3.570,0.896,530,130,79,73,20,43,48,,4,3,1,1,1,1,22,2,01303846
1983,Regular Season,Lotte Orions,26,"Omata, Susumu",0,4,0,,,10,28.1,0.000,7.310,2.153,7.941,2.500,12.706,2.224,6.353,6.671,0.952,140,40,25,23,7,20,21,,1,1,0,0,0,0,5,1,01303849
1983,Regular Season,Yokohama Taiyo Whales,21,"Ohata, Toru",0,0,0,,,1,2.0,0.000,0.000,2.000,0.000,0.000,4.500,0.000,0.000,13.500,0.000,8,1,0,0,0,0,3,,0,0,0,0,0,0,0,1,01303867
1983,Regular Season,Hanshin Tigers,24,"Suzuki, Koki",0,1,0,,,1,1.0,0.000,45.000,5.000,45.000,5.000,18.000,18.000,0.000,27.000,0.000,8,2,5,5,2,0,3,,0,0,0,0,0,0,1,0,01503848
1983,Regular Season,Nippon-Ham Fighters,47,"Sakamaki, Akira",1,0,0,,,9,29.0,1.000,2.170,1.379,3.414,1.222,8.069,0.621,3.103,4.345,0.714,124,26,11,7,2,10,14,,0,0,0,0,0,0,1,5,01503865
1983,Regular Season,Seibu Lions,44,"Kurohara, Yuji",0,0,0,,,5,6.2,0.000,2.700,1.800,2.700,0.400,10.800,1.350,8.100,5.400,1.500,30,8,2,2,1,6,4,,0,0,0,0,0,0,0,2,01503867
1983,Regular Season,Nippon-Ham Fighters,18,"Takahashi, Kazumi",6,5,1,,,24,101.0,0.545,4.010,1.356,4.545,2.125,10.158,0.980,4.455,2.050,2.174,436,114,51,45,11,50,23,,4,2,0,1,0,0,15,3,01703820
1983,Regular Season,Hiroshima Toyo Carp,12,"Takagi, Nobuhiro",1,0,0,,,3,13.2,1.000,2.630,1.171,2.634,1.333,4.610,0.659,5.927,5.927,1.000,57,7,4,4,1,9,9,,0,0,0,0,0,0,2,0,01703865
1983,Regular Season,Seibu Lions,21,"Higashio, Osamu",18,9,2,,,32,213.0,0.667,2.920,1.169,3.211,2.375,8.366,0.592,3.042,2.155,1.412,873,198,76,69,14,72,51,,6,0,1,11,3,2,29,2,01903828
1983,Regular Season,Lotte Orions,16,"Mochizuki, Takuya",0,1,0,,,8,10.1,0.000,14.810,3.290,14.806,2.125,22.645,1.742,1.742,6.968,0.250,63,26,17,17,2,2,8,,1,0,0,0,0,0,1,2,11013844
1983,Regular Season,Yomiuri Giants,52,"Nakajo, Yoshinobu",0,0,1,,,19,34.0,0.000,4.240,1.294,5.029,1.000,8.206,0.794,7.676,3.441,2.231,147,31,19,16,3,29,13,,1,0,0,0,0,0,0,4,11013867
1983,Regular Season,Chunichi Dragons,56,"Yasuki, Shoji",4,2,1,,,36,75.2,0.667,3.690,1.467,4.520,1.056,9.278,0.952,6.423,3.925,1.636,325,78,38,31,8,54,33,,2,0,0,1,1,0,8,10,11213828
1983,Regular Season,Yokohama Taiyo Whales,11,"Horii, Tsuneo",0,1,0,,,13,21.1,0.000,3.800,1.875,5.484,1.000,11.391,0.422,5.063,5.484,0.923,104,27,13,9,1,12,13,,0,2,0,0,0,0,0,2,11213863
1983,Regular Season,Yokohama Taiyo Whales,30,"Yamaguchi, Tadayoshi",1,0,0,,,14,20.2,1.000,3.050,1.694,3.484,0.571,7.839,0.000,5.661,7.403,0.765,96,18,8,7,0,13,17,,2,0,0,0,0,0,0,2,11213865
1983,Regular Season,Nankai Hawks,11,"Hatayama, Hitoshi",0,3,0,,,7,29.2,0.000,6.070,1.551,6.067,2.857,9.708,1.213,3.337,4.247,0.786,130,32,20,20,4,11,14,,1,3,0,1,0,0,5,2,11213867
1983,Regular Season,Hanshin Tigers,18,"Omachi, Sadao",0,1,0,,,21,27.1,0.000,4.610,1.463,5.598,0.810,9.878,0.988,5.268,3.293,1.600,123,30,17,14,3,16,10,,3,0,0,0,0,0,1,8,11313861
1983,Regular Season,Kintetsu Buffaloes,13,"Ishimoto, Yoshiaki",0,0,0,,,1,0.1,0.000,108.000,18.000,135.000,5.000,135.000,54.000,27.000,27.000,1.000,7,5,5,4,2,1,1,,0,0,0,0,0,0,0,0,11313863
1983,Regular Season,Hanshin Tigers,43,"Olsen, Richard",4,2,1,,,13,66.2,0.667,3.510,1.380,3.915,2.231,9.045,1.215,5.400,3.375,1.600,281,67,29,26,9,40,25,,1,3,1,1,0,0,11,2,11313867
1983,Regular Season,Hanshin Tigers,25,"Yamamoto, Kazuyuki",5,9,8,,,45,72.0,0.357,4.000,1.250,4.250,0.756,9.750,1.750,5.750,1.500,3.833,302,78,34,32,14,46,12,,0,0,1,0,0,0,0,31,11413845
1983,Regular Season,Hankyu Braves,35,"Kinoshita, Tomohiro",9,4,1,,,41,95.0,0.692,4.260,1.495,4.926,1.268,8.905,1.611,3.979,4.547,0.875,417,94,52,45,17,42,48,,6,2,0,0,0,0,2,10,11513861
1983,Regular Season,Nankai Hawks,48,"Kawamoto, Kazuhiro",0,0,0,,,1,1.0,0.000,9.000,3.000,9.000,1.000,18.000,0.000,0.000,9.000,0.000,6,2,1,1,0,0,1,,0,0,0,0,0,0,0,1,11513867
1983,Regular Season,Kintetsu Buffaloes,63,"Yoshikawa, Masami",1,1,0,,,23,51.1,0.500,4.030,1.481,4.909,1.217,7.539,1.052,3.857,5.786,0.667,223,43,28,23,6,22,33,,6,0,0,0,0,0,0,7,11613867
1983,Regular Season,Kintetsu Buffaloes,34,"Murata, Tatsumi",2,6,0,,,25,86.1,0.250,5.000,1.459,5.734,2.200,9.799,0.834,2.606,3.336,0.781,371,94,55,48,8,25,32,,5,0,0,4,0,0,9,5,11713840
1983,Regular Season,Lotte Orions,36,"Doi, Masashi",0,1,0,,,20,29.0,0.000,5.280,1.621,5.276,0.850,10.241,1.241,4.655,4.345,1.071,127,33,17,17,4,15,14,,1,1,0,0,0,0,0,6,11713844
1983,Regular Season,Kintetsu Buffaloes,22,"Sumitomo, Kazuya",8,2,3,,,33,80.0,0.800,2.810,1.188,4.163,1.121,8.213,1.238,3.825,2.475,1.545,331,73,37,25,11,34,22,,4,1,0,0,0,0,0,11,11713865
1983,Regular Season,Nippon-Ham Fighters,17,"Sato, Seiichi",0,0,0,,,1,2.2,0.000,6.750,3.000,16.875,5.000,23.625,13.500,3.375,3.375,1.000,17,7,5,2,4,1,1,,1,0,0,0,0,0,0,0,11713867
1983,Regular Season,Nankai Hawks,26,"Fujita, Manabu",2,6,0,,,12,54.2,0.250,6.260,1.409,6.915,3.500,11.689,2.305,2.305,0.988,2.333,238,71,42,38,14,14,6,,1,0,1,0,0,0,12,0,11913842
1983,Regular Season,Hiroshima Toyo Carp,19,"Niimi, Satoshi",1,0,0,,,29,46.0,1.000,1.570,0.891,1.565,0.276,5.870,1.174,5.674,2.152,2.636,170,30,8,8,6,29,11,,0,0,0,0,0,0,0,11,11913847
1983,Regular Season,Yokohama Taiyo Whales,14,"Masumoto, Hiroshi",0,0,0,,,24,24.2,0.000,5.110,1.419,5.473,0.625,9.486,1.824,8.392,3.284,2.556,107,26,15,14,5,23,9,,0,0,0,0,0,0,1,6,11913848
1983,Regular Season,Nippon-Ham Fighters,20,"Takahashi, Masami",1,1,0,,,5,20.2,0.500,3.050,1.306,3.484,1.600,7.403,0.871,2.177,4.355,0.500,85,17,8,7,2,5,10,,2,1,0,0,0,0,3,1,11913861
1983,Regular Season,Yakult Swallows,12,"Tachino, Masashi",0,0,0,,,8,10.2,0.000,4.220,0.938,5.063,0.750,7.594,0.844,6.750,0.844,8.000,43,9,6,5,1,8,1,,0,0,0,0,0,0,0,2,11913863
1983,Regular Season,Yokohama Taiyo Whales,12,"Sekine, Hirofumi",0,0,0,,,10,19.0,0.000,8.530,1.947,8.526,1.800,13.737,2.368,3.789,3.789,1.000,90,29,18,18,5,8,8,,0,0,0,0,0,0,0,7,11913867
1983,Regular Season,Yokohama Taiyo Whales,61,"Miura, Masaki",0,0,0,,,3,4.1,0.000,6.230,2.077,6.231,1.000,16.615,0.000,2.077,2.077,1.000,21,8,3,3,0,1,1,,0,0,0,0,0,0,0,2,21023847
1983,Regular Season,Hiroshima Toyo Carp,57,"Mori, Kozo",0,0,0,,,7,9.2,0.000,5.590,1.241,5.586,0.857,10.241,0.931,8.379,0.931,9.000,38,11,6,6,1,9,1,,0,0,0,0,0,0,0,4,21023865
1983,Regular Season,Seibu Lions,14,"Noguchi, Hiromi",0,0,0,,,2,7.0,0.000,5.140,1.714,5.143,2.000,14.143,0.000,2.571,1.286,2.000,32,11,4,4,0,2,1,,0,0,0,0,0,0,1,0,21023867
1983,Regular Season,Seibu Lions,32,"Ishii, Takeshi",0,0,0,,,2,4.0,0.000,0.000,0.750,0.000,0.000,0.000,0.000,6.750,6.750,1.000,15,0,0,0,0,3,3,,0,0,0,0,0,0,0,2,21123867
1983,Regular Season,Seibu Lions,41,"Kobayashi, Seiji",3,1,1,,,23,45.1,0.750,3.770,1.301,3.772,0.826,8.537,1.191,5.162,3.176,1.625,190,43,19,19,6,26,16,,1,0,0,0,0,0,1,5,21323842
1983,Regular Season,Kintetsu Buffaloes,16,"Kubo, Yasuo",5,10,2,,,29,142.1,0.333,4.550,1.307,5.248,2.862,8.473,1.644,2.909,3.288,0.885,598,134,83,72,26,46,52,,4,0,0,5,0,0,20,4,21323846
1983,Regular Season,Hankyu Braves,57,"Kanamoto, Seikichi",1,3,1,,,29,70.0,0.250,4.500,1.314,5.400,1.448,9.771,1.286,4.629,2.057,2.250,300,76,42,35,10,36,16,,3,1,0,0,0,0,2,11,21323861
