Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
2021,Regular Season,Chiba Lotte Marines,47,"Tanaka, Yasuhiro",1,2,0,10,11,38,33.2,0.333,4.540,1.634,4.812,0.474,11.228,0.802,5.347,3.475,1.538,156,42,18,17,3,20,13,5,2,3,0,0,0,0,0,5,01005112
2021,Regular Season,Fukuoka Softbank Hawks,41,"Senga, Koudai",10,3,0,0,0,13,84.2,0.769,2.660,1.028,2.657,1.923,6.378,0.213,9.567,2.870,3.333,340,60,25,25,2,90,27,0,2,7,0,0,0,0,13,0,01005133
2021,Regular Season,Hiroshima Toyo Carp,34,"Takahashi, Kouya",5,7,0,0,0,15,73.1,0.417,5.280,1.486,5.400,2.933,10.432,1.105,6.627,2.945,2.250,326,85,44,43,9,54,24,0,2,1,0,0,0,0,15,0,01005134
2021,Regular Season,Fukuoka Softbank Hawks,18,"Takeda, Shota",4,5,0,0,0,12,77.1,0.444,2.680,1.164,2.677,1.917,7.681,0.815,8.496,2.793,3.042,314,66,23,23,7,73,24,0,2,2,0,1,0,0,12,0,01005135
2021,Regular Season,Fukuoka Softbank Hawks,28,"Takahashi, Rei",1,1,0,0,0,11,34.0,0.500,5.820,1.853,6.618,2.273,8.206,0.794,3.706,8.471,0.438,168,31,25,22,3,14,32,0,6,0,0,0,0,0,5,0,01005136
2021,Regular Season,Fukuoka Softbank Hawks,16,"Higashihama, Nao",4,4,0,0,0,14,75.1,0.500,3.700,1.420,4.301,2.571,10.155,0.836,7.288,2.628,2.773,326,85,36,31,7,61,22,0,3,0,0,0,0,0,14,0,01005137
2021,Regular Season,Chiba Lotte Marines,69,"Doi, Hideto",0,0,0,0,0,14,14.1,0.000,7.530,1.814,7.535,0.857,9.419,1.884,6.279,6.907,0.909,65,15,12,12,3,10,11,0,1,0,0,0,0,0,0,12,01005138
2021,Regular Season,Saitama Seibu Lions,26,"Sasaki, Takeru",0,0,0,0,0,5,8.2,0.000,8.310,2.423,9.346,1.800,13.500,1.038,4.154,8.308,0.500,46,13,9,8,1,4,8,0,1,0,0,0,0,0,2,1,01005153
2021,Regular Season,Hokkaido Nippon-Ham Fighters,52,"Ikeda, Takahide",3,10,0,1,1,18,82.1,0.231,3.940,1.494,4.591,2.333,9.619,1.202,5.684,3.826,1.486,364,88,42,36,11,52,35,0,5,4,0,0,0,0,16,0,01105134
2021,Regular Season,Fukuoka Softbank Hawks,53,"Izumi, Keisuke",1,2,0,6,7,31,26.1,0.333,2.730,1.253,3.418,0.323,6.835,1.367,10.253,4.443,2.308,111,20,10,8,4,30,13,0,3,2,0,0,0,0,0,8,01105138
2021,Regular Season,Orix Buffaloes,45,"Abe, Shota",0,0,0,0,0,4,3.2,0.000,7.360,1.364,7.364,0.750,9.818,2.455,7.364,2.455,3.000,16,4,3,3,1,3,1,0,0,0,0,0,0,0,0,0,01105153
2021,Regular Season,Saitama Seibu Lions,40,"Tamura, Ichiro",1,0,1,0,1,22,31.0,1.000,2.900,1.065,2.903,0.455,4.935,0.581,5.806,4.645,1.250,130,17,10,10,2,20,16,2,4,0,0,0,0,0,0,13,01205134
2021,Regular Season,Chiba Lotte Marines,48,"Nakamura, Toshiya",0,2,0,0,0,14,38.0,0.000,3.080,1.526,4.500,1.357,9.474,0.711,6.395,4.263,1.500,172,40,19,13,3,27,18,1,1,3,2,0,0,0,3,3,01205138
2021,Regular Season,Tohoku Rakuten Golden Eagles,29,"Takada, Koichi",0,0,0,0,0,3,6.2,0.000,1.350,1.050,2.700,0.667,8.100,1.350,8.100,1.350,6.000,28,6,2,1,1,6,1,0,1,0,0,0,0,0,1,1,01205153
2021,Regular Season,Yokohama DeNA Baystars,21,"Imanaga, Shota",5,5,0,0,0,19,120.0,0.500,3.080,1.025,3.225,2.263,7.275,1.200,8.250,1.950,4.231,476,97,43,41,16,110,26,3,4,0,0,1,0,1,19,0,01305132
2021,Regular Season,Tokyo Yakult Swallows,64,"Ohshita, Yuma",1,0,0,1,2,30,38.2,1.000,3.720,1.086,3.724,0.533,7.914,1.164,7.448,1.862,4.000,159,34,16,16,5,32,8,2,2,1,0,0,0,0,0,9,01305136
2021,Regular Season,Yokohama DeNA Baystars,16,"Ohnuki, Shinichi",6,7,0,0,0,22,112.0,0.462,4.340,1.491,4.580,2.591,11.009,0.723,8.518,2.411,3.533,499,137,57,54,9,106,30,2,3,3,0,0,0,0,21,0,01305138
2021,Regular Season,Fukuoka Softbank Hawks,38,"Mori, Yuito",1,3,15,0,1,30,29.0,0.250,4.030,1.034,4.034,0.433,6.207,1.862,8.069,3.103,2.600,118,20,13,13,6,26,10,0,0,0,0,0,0,0,0,30,01405139
2021,Regular Season,Chiba Lotte Marines,64,"Ohmine, Yuta",1,1,0,0,1,8,11.0,0.500,4.090,1.545,4.909,0.750,12.273,0.818,5.727,1.636,3.500,51,15,6,5,1,7,2,0,0,2,0,0,0,0,0,2,01505114
2021,Regular Season,Fukuoka Softbank Hawks,67,"Kasaya, Shunsuke",3,4,0,0,1,16,59.0,0.429,4.270,1.475,4.576,1.875,7.932,1.831,9.763,5.339,1.829,262,52,30,28,12,64,35,0,2,0,0,0,0,0,12,1,01505130
2021,Regular Season,Hokkaido Nippon-Ham Fighters,63,"Kitaura, Ryuji",0,0,0,0,0,3,5.1,0.000,3.380,1.313,3.375,0.667,8.438,1.688,6.750,3.375,2.000,23,5,2,2,1,4,2,0,0,0,0,0,0,0,0,0,01505136
2021,Regular Season,Fukuoka Softbank Hawks,42,"Ohzeki, Tomohisa",0,0,0,0,0,12,23.0,0.000,2.350,0.957,2.348,0.500,4.696,0.391,5.087,3.913,1.300,88,12,6,6,1,13,10,0,2,0,0,0,0,0,0,6,01505151
2021,Climax Series - Final Stage,Chiba Lotte Marines,15,"Mima, Manabu",0,1,0,,,1,5.2,0.000,1.590,0.882,1.588,1.000,6.353,0.000,4.765,1.588,3.000,21,4,1,1,0,3,1,0,0,0,0,0,0,0,1,0,01605133
2021,Regular Season,Chiba Lotte Marines,15,"Mima, Manabu",6,7,0,0,0,21,115.1,0.462,4.920,1.483,5.618,3.429,10.847,1.171,7.179,2.497,2.875,506,139,72,63,15,92,32,1,4,4,0,0,0,0,21,0,01605133
2021,Climax Series - Final Stage,Chiba Lotte Marines,92,"Kuniyoshi, Yuki",0,0,0,,,1,1.0,0.000,0.000,1.000,0.000,0.000,9.000,0.000,9.000,0.000,,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,01705131
2021,Climax Series - First Stage,Chiba Lotte Marines,92,"Kuniyoshi, Yuki",0,0,0,,,2,1.1,0.000,20.250,2.250,20.250,1.500,0.000,0.000,6.750,20.250,0.333,7,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,01705131
2021,Regular Season,Chiba Lotte Marines,92,"Kuniyoshi, Yuki",2,0,2,17,19,25,25.0,1.000,1.440,1.400,1.440,0.160,6.480,0.000,6.840,6.120,1.118,106,18,4,4,0,19,17,2,0,2,0,0,0,0,0,2,01705131
