Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1988,Regular Season,Hankyu Braves,34,"Mori, Koji",2,1,0,,,42,54.1,0.667,3.640,1.344,4.141,0.595,10.104,0.663,3.810,1.988,1.917,228,61,25,22,4,23,12,,1,1,0,0,0,0,0,6,01003865
1988,Regular Season,Lotte Orions,27,"Ushijima, Kazuhiko",1,6,25,,,38,46.1,0.143,4.470,1.683,4.662,0.632,9.518,0.777,8.935,5.633,1.586,213,49,24,23,4,46,29,,0,3,0,0,0,0,0,35,01103861
1988,Regular Season,Nankai Hawks,12,"Inoe, Yuji",8,3,20,,,51,88.0,0.727,2.350,0.989,2.557,0.490,5.932,0.920,7.977,2.966,2.690,344,58,25,23,9,78,29,,2,7,0,0,0,0,0,45,01103863
1988,Regular Season,Chunichi Dragons,46,"Takashima, Satoru",0,0,0,,,4,4.1,0.000,2.080,1.615,2.077,0.250,10.385,0.000,4.154,4.154,1.000,19,5,1,1,0,2,2,,0,0,0,0,0,0,0,2,01103866
1988,Regular Season,Seibu Lions,48,"Maeda, Koji",1,0,0,,,6,8.2,1.000,2.080,1.269,3.115,0.500,10.385,2.077,5.192,1.038,5.000,36,10,3,2,2,5,1,,0,0,0,0,0,0,0,0,01203869
1988,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",5,4,0,,,24,105.2,0.556,3.490,1.334,3.833,1.875,9.710,0.341,3.237,2.300,1.407,439,114,45,41,4,38,27,,2,0,2,2,0,1,17,0,01303844
1988,Regular Season,Lotte Orions,34,"Kasahara, Eiichi",0,4,0,,,6,18.0,0.000,7.000,2.167,7.500,2.500,11.000,2.000,8.000,8.500,0.941,92,22,15,14,4,16,17,,1,2,0,0,0,0,5,0,01303862
1988,Regular Season,Hiroshima Toyo Carp,12,"Kito, Makoto",4,3,0,,,31,93.1,0.571,3.660,1.275,3.857,1.290,8.004,0.868,6.846,3.471,1.972,396,83,40,38,9,71,36,,3,1,0,1,0,0,10,8,01303864
1988,Regular Season,Chunichi Dragons,18,"Kashima, Tadashi",3,2,0,,,44,73.2,0.600,3.670,1.452,3.910,0.727,8.796,0.733,6.719,4.276,1.571,321,72,32,30,6,55,35,,1,4,0,0,0,0,0,10,01303869
1988,Regular Season,Chunichi Dragons,34,"Yamamoto, Masahiro",5,0,0,,,8,48.2,1.000,0.550,0.842,0.740,0.500,5.178,0.185,6.473,2.404,2.692,184,28,4,3,1,35,13,,1,0,0,2,2,0,6,0,01403862
