Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1982,Regular Season,Nankai Hawks,31,"Mizutani, Shigeo",0,0,0,,,7,9.2,0.000,9.900,2.379,12.103,1.857,18.621,1.862,6.517,2.793,2.333,51,20,13,11,2,7,3,,1,0,0,0,0,0,0,4,01003861
1982,Regular Season,Hankyu Braves,34,"Mori, Koji",0,0,0,,,4,3.2,0.000,0.000,1.636,0.000,0.000,9.818,0.000,0.000,4.909,0.000,14,4,0,0,0,0,2,,0,0,0,0,0,0,0,3,01003865
1982,Regular Season,Hiroshima Toyo Carp,11,"Ikegaya, Kojiro",1,6,0,,,17,60.2,0.143,5.020,1.484,5.786,2.294,10.533,1.038,4.005,2.819,1.421,272,71,39,34,7,27,19,,2,0,0,0,0,0,12,1,01103849
1982,Regular Season,Chunichi Dragons,17,"Ushijima, Kazuhiko",7,4,17,,,53,77.1,0.636,1.400,0.931,1.397,0.226,5.121,0.698,8.728,3.259,2.679,301,44,12,12,6,75,28,,1,0,0,0,0,0,0,42,01103861
1982,Regular Season,Nankai Hawks,52,"Inoe, Yuji",5,9,0,,,21,119.1,0.357,4.080,1.500,4.676,2.952,8.899,0.830,3.922,4.601,0.852,520,118,62,54,11,52,61,,3,3,0,2,1,0,20,0,01103863
1982,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",5,6,30,,,56,134.2,0.455,2.070,1.069,2.406,0.643,7.285,0.802,5.347,2.339,2.286,542,109,36,31,12,80,35,,1,0,0,0,0,0,1,55,01303844
1982,Regular Season,Yokohama Taiyo Whales,15,"Kadota, Fumiaki",8,9,0,,,30,120.2,0.471,4.830,1.608,5.296,2.367,10.442,1.044,3.655,4.028,0.907,548,140,71,65,14,49,54,,3,3,0,1,1,0,26,1,01303846
1982,Regular Season,Lotte Orions,14,"Okue, Hideyuki",0,2,0,,,5,12.1,0.000,9.000,2.676,11.676,3.200,16.054,2.189,5.108,8.027,0.636,68,22,16,12,3,7,11,,0,0,0,0,0,0,3,0,01303847
1982,Regular Season,Lotte Orions,26,"Omata, Susumu",3,5,0,,,27,108.2,0.375,4.210,1.491,4.307,1.926,8.448,1.077,3.147,4.969,0.633,476,102,52,51,13,38,60,,2,3,1,4,0,0,12,4,01303849
1982,Regular Season,Yakult Swallows,13,"Kataoka, Daizo",0,0,0,,,1,0.0,0.000,,,,1.000,,,,,0.000,3,2,1,1,0,0,1,,0,0,0,0,0,0,0,0,01303861
