Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1956,Regular Season,Takahashi Unions,16,"Taki, Yoshihiko",6,20,,,,38,165.1,0.231,3.900,1.210,4.899,2.368,8.710,0.435,3.484,2.177,1.600,696,160,90,72,8,64,40,,4,2,0,1,1,1,23,8,01003805
1956,Regular Season,Mainichi Orions,11,"Aramaki, Atsushi",24,16,,,,56,263.0,0.600,2.120,0.943,2.464,1.286,6.913,0.240,4.209,1.574,2.674,1028,202,72,62,7,123,46,,3,2,0,11,2,5,20,29,01103801
1956,Regular Season,Taiyo Whales,17,"Akiyama, Noboru",25,25,,,,58,379.2,0.500,2.390,1.122,2.845,2.069,6.874,0.569,6.306,3.224,1.956,1552,290,120,101,24,266,136,,19,3,1,26,7,0,35,21,01103802
1956,Regular Season,Takahashi Unions,17,"Iio, Tameo",3,16,,,,47,179.2,0.158,3.500,1.297,4.208,1.787,9.668,0.751,4.809,2.004,2.400,766,193,84,70,15,96,40,,3,1,1,4,1,0,20,15,01103803
1956,Regular Season,Taiyo Whales,32,"Suzuki, Shigeru",0,0,,,,1,2.0,0.000,4.500,2.000,4.500,1.000,13.500,4.500,4.500,4.500,1.000,9,3,1,1,1,1,1,,0,0,0,0,0,0,1,0,01203800
1956,Regular Season,Mainichi Orions,12,"Nakanishi, Katsumi",8,11,,,,40,167.2,0.421,2.090,1.247,3.167,1.475,6.388,0.161,5.744,4.831,1.189,709,119,59,39,3,107,90,,3,6,0,5,5,0,27,9,01203802
1956,Regular Season,Kintetsu Pearls,12,"Nagai, Yasuo",8,11,,,,39,143.1,0.421,3.500,1.263,4.081,1.667,7.723,0.502,3.956,3.642,1.086,609,123,65,56,8,63,58,,4,8,0,3,1,0,15,15,01203807
1956,Regular Season,Nishitetsu Lions,21,"Kawasaki, Tokuji",2,3,,,,28,85.0,0.400,2.330,1.271,2.753,0.929,8.576,0.424,3.388,2.859,1.185,350,81,26,22,4,32,27,,2,0,0,2,1,0,7,14,01303891
1956,Regular Season,Osaka Tigers,4,"Komada, Keiji",1,0,,,,5,20.0,1.000,0.450,1.100,1.350,0.600,8.100,0.450,2.250,1.800,1.250,78,18,3,1,1,5,4,,0,0,0,1,1,0,2,2,01303898
1956,Regular Season,Kokutetsu Swallows,41,"Onuma, Kiyoshi",0,0,,,,2,4.0,0.000,0.000,0.750,0.000,0.000,6.750,0.000,0.000,0.000,,15,3,0,0,0,0,0,,0,0,0,0,0,0,1,0,01503802
1956,Regular Season,Daiei Stars,24,"Kasahara, Masayuki",1,8,,,,18,63.0,0.111,3.710,1.254,4.429,1.722,8.000,0.857,2.714,3.286,0.826,266,56,31,26,6,19,23,,2,2,0,0,0,0,8,7,01503807
1956,Regular Season,Hankyu Braves,12,"Shibata, Eiji",12,8,,,,44,192.2,0.600,2.520,1.080,3.130,1.523,8.268,0.374,3.597,1.448,2.484,768,177,67,54,8,77,31,,4,0,0,2,2,0,26,11,01603801
1956,Regular Season,Takahashi Unions,19,"Miyazaki, Kazuo",2,4,,,,33,90.0,0.333,4.000,1.489,4.700,1.424,10.100,0.400,3.900,3.300,1.182,395,101,47,40,4,39,33,,0,5,1,0,0,0,6,14,01603805
