Season,Game Type,Team,#,Name,W,L,S,HLD,HP,G,IP,WPCT,ERA,WHIP,R/9,R/G,H/9,HR/9,K/9,BB/9,K/BB,BF,H,R,ER,HR,K,BB,IBB,DB,WP,BLK,CG,SHO,No BB,GS,GF,PlayerID
1980,Regular Season,Nankai Hawks,31,"Mizutani, Shigeo",1,0,0,,,11,30.0,1.000,6.900,1.600,7.200,2.182,9.000,1.800,3.600,5.400,0.667,136,30,24,23,6,12,18,,4,0,0,0,0,0,2,4,01003861
1980,Regular Season,Hiroshima Toyo Carp,11,"Ikegaya, Kojiro",9,6,0,,,28,169.1,0.600,3.300,1.211,3.561,2.393,8.610,1.116,5.687,2.285,2.488,706,162,67,62,21,107,43,,4,1,0,7,1,1,25,0,01103849
1980,Regular Season,Chunichi Dragons,17,"Ushijima, Kazuhiko",2,1,0,,,9,27.0,0.667,5.000,1.296,5.333,1.778,7.667,1.333,4.667,4.000,1.167,111,23,16,15,4,14,12,,0,0,0,0,0,0,4,2,01103861
1980,Regular Season,Lotte Orions,48,"Wakabayashi, Hitoshi",0,0,0,,,2,0.1,0.000,81.000,21.000,81.000,1.500,135.000,27.000,27.000,54.000,0.500,8,5,3,3,1,1,2,,0,0,0,0,0,0,0,0,01203861
1980,Regular Season,Hanshin Tigers,29,"Emoto, Takenori",8,15,0,,,31,160.0,0.348,4.780,1.450,5.231,3.000,9.450,1.575,6.075,3.600,1.688,704,168,93,85,28,108,64,,9,5,2,4,0,0,26,1,01303843
1980,Regular Season,Yokohama Taiyo Whales,17,"Saito, Akio",14,17,1,,,35,247.1,0.452,3.790,1.282,4.039,3.171,8.915,0.873,6.004,2.620,2.292,1024,245,111,104,24,165,72,,3,1,4,17,1,2,33,1,01303844
1980,Regular Season,Yokohama Taiyo Whales,15,"Kadota, Fumiaki",0,0,0,,,6,6.1,0.000,3.000,1.263,2.842,0.333,5.684,0.000,5.684,5.684,1.000,27,4,2,2,0,4,4,,0,0,0,0,0,0,0,3,01303846
1980,Regular Season,Lotte Orions,14,"Okue, Hideyuki",13,8,1,,,28,170.1,0.619,5.190,1.597,5.654,3.821,8.982,1.374,4.491,5.389,0.833,767,170,107,98,26,85,102,,7,4,0,8,0,0,24,1,01303847
1980,Regular Season,Lotte Orions,26,"Omata, Susumu",6,4,0,,,26,108.2,0.600,3.470,1.353,3.727,1.731,7.868,1.160,6.046,4.307,1.404,453,95,45,42,14,73,52,,2,3,0,3,2,0,10,9,01303849
1980,Regular Season,Yakult Swallows,13,"Kataoka, Daizo",0,0,0,,,2,4.0,0.000,0.000,1.500,0.000,0.000,6.750,0.000,0.000,6.750,0.000,15,3,0,0,0,0,3,,0,0,0,0,0,0,1,0,01303861
1980,Regular Season,Yokohama Taiyo Whales,12,"Tanaka, Yoshio",5,10,0,,,33,96.0,0.333,4.780,1.531,5.531,1.788,9.375,1.125,5.719,4.406,1.298,432,100,59,51,12,61,47,,5,0,0,2,0,0,16,2,01503842
1980,Regular Season,Hanshin Tigers,24,"Suzuki, Koki",0,1,0,,,10,18.2,0.000,6.160,1.607,6.268,1.300,10.125,1.446,6.268,4.339,1.444,83,21,13,13,3,13,9,,1,2,0,0,0,0,1,0,01503848
1980,Regular Season,Nippon-Ham Fighters,18,"Takahashi, Kazumi",9,7,4,,,33,177.1,0.563,3.560,1.235,3.959,2.364,8.628,1.320,5.684,2.487,2.286,733,170,78,70,26,112,49,,5,2,0,6,2,1,21,11,01703820
1980,Regular Season,Seibu Lions,21,"Higashio, Osamu",17,13,0,,,33,235.1,0.567,3.790,1.271,4.475,3.545,9.867,1.071,3.212,1.568,2.049,988,258,117,99,28,84,41,,12,0,1,18,1,4,33,0,01903828
1980,Regular Season,Yokohama Taiyo Whales,33,"Takahashi, Shigeyuki",3,5,0,,,14,54.1,0.375,4.500,1.730,4.804,2.071,9.442,0.828,6.460,6.129,1.054,254,57,29,27,5,39,37,,2,5,0,0,0,0,11,0,01903829
1980,Regular Season,Yomiuri Giants,22,"Fujishiro, Kazuaki",4,3,0,,,18,54.1,0.571,5.000,1.380,4.969,1.667,8.448,1.160,7.620,3.975,1.917,227,51,30,30,7,46,24,,0,1,0,1,1,0,11,4,01903844
1980,Regular Season,Chunichi Dragons,55,"Mizutani, Hiroaki",1,2,0,,,56,59.0,0.333,4.270,1.593,5.949,0.696,10.220,0.305,6.559,4.119,1.593,274,67,39,28,2,43,27,,6,1,1,0,0,0,1,6,01903848
1980,Regular Season,Nankai Hawks,24,"Natori, Kazuhiko",5,12,0,,,30,120.0,0.294,6.450,1.792,6.900,3.067,10.800,2.550,4.650,5.325,0.873,570,144,92,86,34,62,71,,6,0,0,0,0,0,23,3,01903861
1980,Regular Season,Lotte Orions,16,"Mochizuki, Takuya",0,1,0,,,3,6.0,0.000,13.500,2.167,13.500,3.000,15.000,1.500,1.500,4.500,0.333,34,10,9,9,1,1,3,,3,0,0,0,0,0,1,1,11013844
1980,Regular Season,Yomiuri Giants,13,"Narishige, Haruo",0,0,0,,,6,13.1,0.000,4.850,1.275,4.725,1.167,8.775,1.350,5.400,2.700,2.000,56,13,7,7,2,8,4,,1,0,0,0,0,0,0,1,11013845
1980,Regular Season,Hanshin Tigers,47,"Fujiwara, Masashi",0,1,2,,,50,40.0,0.000,2.250,1.075,3.375,0.300,5.850,1.350,5.175,3.825,1.353,160,26,15,10,6,23,17,,1,0,0,0,0,0,0,8,11013861
1980,Regular Season,Lotte Orions,46,"Yasuki, Shoji",7,8,1,,,26,115.0,0.467,5.320,1.496,5.478,2.692,10.017,1.409,4.304,3.443,1.250,509,128,70,68,18,55,44,,3,1,0,2,0,0,16,4,11213828
1980,Regular Season,Yakult Swallows,43,"Kamizuru, Hiroshi",0,2,0,,,9,19.0,0.000,3.790,1.263,6.158,1.444,8.053,2.842,7.105,3.316,2.143,78,17,13,8,6,15,7,,0,0,0,0,0,0,2,4,11313842
1980,Regular Season,Hanshin Tigers,18,"Omachi, Sadao",2,2,4,,,37,71.2,0.500,2.750,1.047,3.140,0.676,7.660,1.256,5.651,1.758,3.214,284,61,25,22,10,45,14,,3,0,0,0,0,0,2,13,11313861
1980,Regular Season,Hanshin Tigers,25,"Yamamoto, Kazuyuki",15,11,2,,,35,221.1,0.577,3.260,1.111,3.944,2.771,7.685,1.261,6.425,2.318,2.772,900,189,97,80,31,158,57,,2,6,1,13,0,0,31,2,11413845
1980,Regular Season,Hankyu Braves,19,"Kinoshita, Tomohiro",0,1,0,,,1,3.2,0.000,13.500,3.273,17.182,7.000,24.545,0.000,0.000,4.909,0.000,24,10,7,6,0,0,2,,0,0,0,0,0,0,1,0,11513861
1980,Regular Season,Kintetsu Buffaloes,34,"Murata, Tatsumi",7,7,2,,,36,136.0,0.500,6.220,1.632,6.949,2.917,10.919,2.515,3.441,3.772,0.912,625,165,105,94,38,52,57,,6,0,0,3,0,0,18,7,11713840
1980,Regular Season,Nankai Hawks,26,"Fujita, Manabu",3,4,1,,,18,68.0,0.429,5.560,1.603,5.691,2.389,11.515,1.721,3.309,2.912,1.136,307,87,43,42,13,25,22,,0,1,0,2,0,0,8,8,11913842
1980,Regular Season,Yokohama Taiyo Whales,11,"Takeuchi, Hiroaki",1,1,0,,,22,30.1,0.500,3.600,1.385,4.154,0.636,8.011,0.297,3.264,4.451,0.733,127,27,14,12,1,11,15,,1,0,0,0,0,0,0,6,11913845
1980,Regular Season,Hiroshima Toyo Carp,19,"Niimi, Satoshi",0,0,0,,,6,7.0,0.000,3.860,1.286,5.143,0.667,6.429,1.286,10.286,5.143,2.000,31,5,4,3,1,8,4,,0,1,0,0,0,0,0,4,11913847
1980,Regular Season,Yokohama Taiyo Whales,20,"Masumoto, Hiroshi",4,3,0,,,23,61.1,0.571,3.390,1.386,3.668,1.087,9.685,0.734,3.962,2.788,1.421,261,66,25,23,5,27,19,,3,0,1,1,0,0,7,5,11913848
1980,Regular Season,Nippon-Ham Fighters,26,"Takahashi, Masami",0,0,0,,,1,0.2,0.000,27.000,6.000,40.500,3.000,54.000,13.500,0.000,0.000,,6,4,3,2,1,0,0,,0,0,0,0,0,0,0,0,11913861
1980,Regular Season,Yokohama Taiyo Whales,13,"Miyamoto, Yukinobu",1,0,0,,,6,6.0,1.000,9.000,2.333,10.500,1.167,15.000,7.500,7.500,6.000,1.250,30,10,7,6,5,5,4,,0,0,0,0,0,0,0,4,21023826
1980,Regular Season,Nankai Hawks,40,"Miura, Masaki",3,2,2,,,42,81.2,0.600,5.490,1.433,5.620,1.214,9.588,1.322,3.196,3.306,0.967,352,87,51,50,12,29,30,,2,1,0,0,0,0,0,17,21023847
1980,Regular Season,Hankyu Braves,51,"Yamashita, Koji",0,0,0,,,2,2.1,0.000,36.000,6.000,30.857,4.000,38.571,3.857,3.857,15.429,0.250,18,10,8,8,1,1,4,,0,0,0,0,0,0,0,0,21023849
1980,Regular Season,Yakult Swallows,38,"Minami, Hidenori",0,1,0,,,1,2.0,0.000,31.500,4.500,31.500,7.000,27.000,4.500,0.000,13.500,0.000,13,6,7,7,1,0,3,,0,0,0,0,0,0,1,0,21023861
1980,Regular Season,Hankyu Braves,58,"Ishida, Makoto",0,0,0,,,1,1.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,21123849
1980,Regular Season,Kintetsu Buffaloes,16,"Kubo, Yasuo",8,5,3,,,34,130.1,0.615,4.020,1.343,4.212,1.794,8.977,1.657,4.765,3.107,1.533,555,130,61,58,24,69,45,,3,4,0,4,0,0,10,15,21323846
1980,Regular Season,Hankyu Braves,57,"Kanamoto, Seikichi",0,2,1,,,9,30.0,0.000,6.600,1.433,6.600,2.444,10.500,2.700,5.400,2.400,2.250,134,35,22,22,9,18,8,,2,0,0,0,0,0,1,6,21323861
1980,Regular Season,Hankyu Braves,20,"Shiraishi, Shizuo",3,3,0,,,12,57.2,0.500,6.980,1.942,8.116,4.333,12.017,1.717,2.965,5.462,0.543,285,77,52,45,11,19,35,,2,0,1,1,1,0,11,0,21523822
1980,Regular Season,Lotte Orions,28,"Tamura, Isao",0,0,0,,,6,10.2,0.000,15.550,2.906,18.563,3.667,16.875,5.906,8.438,9.281,0.909,63,20,22,19,7,10,11,,2,0,2,0,0,0,0,2,21523842
1980,Regular Season,Yokohama Taiyo Whales,14,"Sato, Michio",0,0,0,,,12,12.0,0.000,11.250,2.167,11.250,1.250,15.000,1.500,5.250,4.500,1.167,61,20,15,15,2,7,6,,0,0,0,0,0,0,0,5,21723841
1980,Regular Season,Lotte Orions,20,"Nishina, Tokinari",17,8,0,,,29,208.2,0.680,3.190,1.160,3.666,2.931,8.324,1.510,4.054,2.113,1.918,853,193,85,74,35,94,49,,18,0,0,17,5,1,27,1,21723844
1980,Regular Season,Nankai Hawks,34,"Hirasawa, Takayoshi",1,0,0,,,18,33.1,1.000,7.360,1.680,7.290,1.500,11.880,2.430,5.400,3.240,1.667,152,44,27,27,9,20,12,,0,0,0,0,0,0,1,4,21723846
1980,Regular Season,Nankai Hawks,18,"Murakami, Yukihiro",4,11,0,,,24,103.2,0.267,7.360,1.958,7.814,3.750,10.071,1.736,4.254,7.553,0.563,509,116,90,85,20,49,87,,4,5,0,3,0,0,20,2,21923846
